
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   83  5250  2.50  0.50  2.00  1.25  0.00 -15.145 -16.233 -16.567 -23.837  -0.299   0.714   0.938   0.922
   84  5250  3.00  0.50  2.00  1.25  0.00 -15.215 -16.252 -16.563 -23.837  -0.302   0.663   0.915   0.899
   85  5250  3.50  0.50  2.00  1.25  0.00 -15.267 -16.268 -16.559 -23.837  -0.307   0.624   0.894   0.878
   86  5250  4.00  0.50  2.00  1.25  0.00 -15.301 -16.279 -16.552 -23.837  -0.313   0.600   0.877   0.861
   87  5250  4.50  0.50  2.00  1.25  0.00 -15.316 -16.285 -16.544 -23.837  -0.321   0.591   0.863   0.847
   88  5250  5.00  0.50  2.00  1.25  0.00 -15.312 -16.286 -16.535 -23.837  -0.330   0.596   0.853   0.837
   89  5500  0.00  0.50  2.00  1.25  0.00 -15.221 -16.566 -16.904 -24.039  -0.164   0.977   0.941   0.925
   90  5500  0.50  0.50  2.00  1.25  0.00 -15.313 -16.574 -16.889 -24.039  -0.179   0.890   0.919   0.903
   91  5500  1.00  0.50  2.00  1.25  0.00 -15.408 -16.583 -16.876 -24.039  -0.192   0.802   0.897   0.881
   92  5500  1.50  0.50  2.00  1.25  0.00 -15.501 -16.593 -16.864 -24.039  -0.203   0.717   0.874   0.858
   93  5500  2.00  0.50  2.00  1.25  0.00 -15.588 -16.604 -16.854 -24.039  -0.214   0.639   0.853   0.837
   94  5500  2.50  0.50  2.00  1.25  0.00 -15.662 -16.614 -16.845 -24.039  -0.222   0.573   0.835   0.819
   95  5500  3.00  0.50  2.00  1.25  0.00 -15.722 -16.624 -16.839 -24.039  -0.229   0.522   0.819   0.803
   96  5500  3.50  0.50  2.00  1.25  0.00 -15.766 -16.631 -16.833 -24.039  -0.234   0.484   0.806   0.790
   97  5500  4.00  0.50  2.00  1.25  0.00 -15.797 -16.636 -16.828 -24.039  -0.240   0.457   0.795   0.779
   98  5500  4.50  0.50  2.00  1.25  0.00 -15.813 -16.639 -16.822 -24.039  -0.246   0.444   0.786   0.770
   99  5500  5.00  0.50  2.00  1.25  0.00 -15.814 -16.640 -16.815 -24.039  -0.253   0.445   0.779   0.763
  100  5750  0.00  0.50  2.00  1.25  0.00 -15.758 -16.963 -17.166 -24.233  -0.094   0.831   0.807   0.791
  101  5750  0.50  0.50  2.00  1.25  0.00 -15.818 -16.956 -17.151 -24.233  -0.110   0.763   0.798   0.782
  102  5750  1.00  0.50  2.00  1.25  0.00 -15.894 -16.957 -17.136 -24.233  -0.124   0.685   0.783   0.767
  103  5750  1.50  0.50  2.00  1.25  0.00 -15.971 -16.959 -17.123 -24.233  -0.138   0.608   0.767   0.751
  104  5750  2.00  0.50  2.00  1.25  0.00 -16.046 -16.962 -17.111 -24.233  -0.150   0.535   0.752   0.736
  105  5750  2.50  0.50  2.00  1.25  0.00 -16.112 -16.964 -17.100 -24.233  -0.161   0.469   0.739   0.723
  106  5750  3.00  0.50  2.00  1.25  0.00 -16.167 -16.965 -17.090 -24.233  -0.170   0.415   0.728   0.712
  107  5750  3.50  0.50  2.00  1.25  0.00 -16.209 -16.965 -17.082 -24.233  -0.178   0.372   0.721   0.705
  108  5750  4.00  0.50  2.00  1.25  0.00 -16.238 -16.964 -17.076 -24.233  -0.185   0.341   0.715   0.699
  109  5750  4.50  0.50  2.00  1.25  0.00 -16.255 -16.962 -17.070 -24.233  -0.191   0.323   0.711   0.695
  110  5750  5.00  0.50  2.00  1.25  0.00 -16.259 -16.960 -17.065 -24.233  -0.196   0.316   0.708   0.692
  111  6000  0.00  0.50  2.00  1.25  0.00 -16.255 -17.335 -17.404 -24.417  -0.042   0.699   0.672   0.656
  112  6000  0.50  0.50  2.00  1.25  0.00 -16.278 -17.315 -17.389 -24.417  -0.057   0.656   0.677   0.661
  113  6000  1.00  0.50  2.00  1.25  0.00 -16.326 -17.303 -17.375 -24.417  -0.071   0.594   0.675   0.659
  114  6000  1.50  0.50  2.00  1.25  0.00 -16.385 -17.296 -17.361 -24.417  -0.085   0.527   0.668   0.652
  115  6000  2.00  0.50  2.00  1.25  0.00 -16.446 -17.291 -17.347 -24.417  -0.099   0.460   0.659   0.643
  116  6000  2.50  0.50  2.00  1.25  0.00 -16.504 -17.286 -17.334 -24.417  -0.112   0.395   0.652   0.636
  117  6000  3.00  0.50  2.00  1.25  0.00 -16.554 -17.280 -17.322 -24.417  -0.123   0.339   0.646   0.630
  118  6000  3.50  0.50  2.00  1.25  0.00 -16.595 -17.274 -17.312 -24.417  -0.134   0.290   0.642   0.626
  119  6000  4.00  0.50  2.00  1.25  0.00 -16.627 -17.267 -17.303 -24.417  -0.142   0.252   0.640   0.624
  120  6000  4.50  0.50  2.00  1.25  0.00 -16.646 -17.260 -17.296 -24.417  -0.150   0.225   0.639   0.623
  121  6000  5.00  0.50  2.00  1.25  0.00 -16.655 -17.254 -17.290 -24.417  -0.155   0.211   0.640   0.624
  122  6250  0.50  0.50  2.00  1.25  0.00 -16.701 -17.652 -17.604 -24.595  -0.019   0.564   0.555   0.539
  123  6250  1.00  0.50  2.00  1.25  0.00 -16.718 -17.628 -17.592 -24.595  -0.031   0.523   0.567   0.551
  124  6250  1.50  0.50  2.00  1.25  0.00 -16.755 -17.610 -17.579 -24.595  -0.044   0.467   0.573   0.557
  125  6250  2.00  0.50  2.00  1.25  0.00 -16.802 -17.597 -17.565 -24.595  -0.058   0.406   0.572   0.556
  126  6250  2.50  0.50  2.00  1.25  0.00 -16.850 -17.584 -17.551 -24.595  -0.072   0.345   0.570   0.554
  127  6250  3.00  0.50  2.00  1.25  0.00 -16.894 -17.572 -17.538 -24.595  -0.085   0.287   0.569   0.553
  128  6250  3.50  0.50  2.00  1.25  0.00 -16.935 -17.560 -17.525 -24.595  -0.098   0.234   0.569   0.553
  129  6250  4.00  0.50  2.00  1.25  0.00 -16.967 -17.548 -17.514 -24.595  -0.109   0.189   0.570   0.554
  130  6250  4.50  0.50  2.00  1.25  0.00 -16.991 -17.536 -17.505 -24.595  -0.118   0.153   0.573   0.557
  131  6250  5.00  0.50  2.00  1.25  0.00 -17.006 -17.525 -17.498 -24.595  -0.125   0.128   0.576   0.560
  132  6500  0.50  0.50  2.00  1.25  0.00 -17.083 -17.957 -17.801 -24.765   0.008   0.481   0.448   0.432
  133  6500  1.00  0.50  2.00  1.25  0.00 -17.079 -17.935 -17.789 -24.765  -0.004   0.463   0.458   0.442
  134  6500  1.50  0.50  2.00  1.25  0.00 -17.092 -17.906 -17.779 -24.765  -0.014   0.422   0.477   0.461
  135  6500  2.00  0.50  2.00  1.25  0.00 -17.122 -17.882 -17.767 -24.765  -0.026   0.368   0.488   0.472
  136  6500  2.50  0.50  2.00  1.25  0.00 -17.158 -17.863 -17.753 -24.765  -0.040   0.311   0.493   0.477
