
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   89  5500  0.00  0.50  2.00  1.25  0.00 -14.909 -14.891 -16.251 -16.892 -16.919   2.785   2.781   0.527   0.543   0.643   0.639
   90  5500  0.50  0.50  2.00  1.25  0.00 -15.030 -15.012 -16.296 -16.882 -16.904   2.654   2.650   0.522   0.493   0.622   0.618
   91  5500  1.00  0.50  2.00  1.25  0.00 -15.152 -15.134 -16.338 -16.873 -16.891   2.523   2.520   0.517   0.447   0.593   0.589
   92  5500  1.50  0.50  2.00  1.25  0.00 -15.272 -15.254 -16.377 -16.867 -16.879   2.397   2.393   0.512   0.407   0.557   0.553
   93  5500  2.00  0.50  2.00  1.25  0.00 -15.386 -15.367 -16.410 -16.863 -16.869   2.278   2.275   0.506   0.375   0.513   0.510
   94  5500  2.50  0.50  2.00  1.25  0.00 -15.488 -15.469 -16.438 -16.862 -16.861   2.176   2.173   0.499   0.354   0.467   0.464
   95  5500  3.00  0.50  2.00  1.25  0.00 -15.574 -15.554 -16.458 -16.864 -16.856   2.093   2.090   0.492   0.344   0.420   0.417
   96  5500  3.50  0.50  2.00  1.25  0.00 -15.641 -15.622 -16.472 -16.869 -16.853   2.030   2.028   0.484   0.342   0.376   0.374
   97  5500  4.00  0.50  2.00  1.25  0.00 -15.693 -15.673 -16.482 -16.876 -16.851   1.985   1.983   0.475   0.348   0.337   0.335
   98  5500  4.50  0.50  2.00  1.25  0.00 -15.727 -15.707 -16.488 -16.886 -16.850   1.961   1.959   0.465   0.362   0.305   0.304
   99  5500  5.00  0.50  2.00  1.25  0.00 -15.741 -15.721 -16.489 -16.897 -16.851   1.958   1.956   0.454   0.383   0.282   0.280
  100  5750  0.00  0.50  2.00  1.25  0.00 -15.352 -15.334 -16.749 -17.240 -17.181   2.690   2.686   0.441   0.479   0.849   0.844
  101  5750  0.50  0.50  2.00  1.25  0.00 -15.459 -15.441 -16.764 -17.222 -17.165   2.564   2.561   0.444   0.443   0.788   0.785
  102  5750  1.00  0.50  2.00  1.25  0.00 -15.578 -15.559 -16.787 -17.207 -17.151   2.431   2.428   0.444   0.405   0.732   0.729
  103  5750  1.50  0.50  2.00  1.25  0.00 -15.696 -15.677 -16.811 -17.195 -17.137   2.301   2.298   0.443   0.370   0.673   0.670
  104  5750  2.00  0.50  2.00  1.25  0.00 -15.810 -15.790 -16.831 -17.184 -17.125   2.176   2.174   0.441   0.341   0.610   0.607
  105  5750  2.50  0.50  2.00  1.25  0.00 -15.913 -15.894 -16.847 -17.175 -17.114   2.064   2.062   0.439   0.319   0.546   0.544
  106  5750  3.00  0.50  2.00  1.25  0.00 -16.003 -15.983 -16.857 -17.170 -17.106   1.968   1.966   0.437   0.305   0.483   0.481
  107  5750  3.50  0.50  2.00  1.25  0.00 -16.078 -16.058 -16.862 -17.167 -17.100   1.891   1.889   0.433   0.301   0.421   0.419
  108  5750  4.00  0.50  2.00  1.25  0.00 -16.137 -16.117 -16.863 -17.167 -17.095   1.832   1.830   0.429   0.304   0.364   0.362
  109  5750  4.50  0.50  2.00  1.25  0.00 -16.179 -16.159 -16.860 -17.171 -17.093   1.793   1.792   0.422   0.317   0.313   0.311
  110  5750  5.00  0.50  2.00  1.25  0.00 -16.205 -16.185 -16.856 -17.178 -17.092   1.775   1.773   0.414   0.337   0.271   0.270
  111  6000  0.00  0.50  2.00  1.25  0.00 -15.741 -15.723 -17.212 -17.559 -17.417   2.620   2.616   0.358   0.418   1.065   1.062
  112  6000  0.50  0.50  2.00  1.25  0.00 -15.829 -15.810 -17.199 -17.533 -17.402   2.507   2.503   0.369   0.394   0.979   0.975
  113  6000  1.00  0.50  2.00  1.25  0.00 -15.937 -15.919 -17.197 -17.512 -17.388   2.377   2.373   0.376   0.368   0.886   0.883
  114  6000  1.50  0.50  2.00  1.25  0.00 -16.052 -16.032 -17.203 -17.494 -17.374   2.244   2.241   0.380   0.340   0.803   0.800
  115  6000  2.00  0.50  2.00  1.25  0.00 -16.164 -16.145 -17.210 -17.478 -17.361   2.115   2.113   0.383   0.314   0.719   0.717
  116  6000  2.50  0.50  2.00  1.25  0.00 -16.270 -16.251 -17.214 -17.463 -17.348   1.995   1.993   0.385   0.293   0.637   0.635
  117  6000  3.00  0.50  2.00  1.25  0.00 -16.365 -16.345 -17.215 -17.451 -17.337   1.888   1.886   0.386   0.279   0.556   0.554
  118  6000  3.50  0.50  2.00  1.25  0.00 -16.448 -16.428 -17.213 -17.442 -17.328   1.795   1.794   0.386   0.272   0.478   0.476
  119  6000  4.00  0.50  2.00  1.25  0.00 -16.516 -16.496 -17.207 -17.435 -17.320   1.721   1.719   0.385   0.272   0.405   0.403
  120  6000  4.50  0.50  2.00  1.25  0.00 -16.569 -16.549 -17.199 -17.433 -17.315   1.666   1.665   0.382   0.281   0.338   0.337
  121  6000  5.00  0.50  2.00  1.25  0.00 -16.606 -16.585 -17.190 -17.436 -17.313   1.632   1.631   0.377   0.298   0.280   0.279
  122  6250  0.50  0.50  2.00  1.25  0.00 -16.154 -16.134 -17.607 -17.821 -17.616   2.469   2.466   0.296   0.348   1.181   1.178
  123  6250  1.00  0.50  2.00  1.25  0.00 -16.249 -16.229 -17.581 -17.794 -17.605   2.347   2.344   0.311   0.331   1.062   1.059
  124  6250  1.50  0.50  2.00  1.25  0.00 -16.357 -16.338 -17.565 -17.770 -17.592   2.215   2.212   0.322   0.312   0.945   0.942
  125  6250  2.00  0.50  2.00  1.25  0.00 -16.468 -16.448 -17.558 -17.749 -17.578   2.083   2.081   0.329   0.291   0.840   0.838
  126  6250  2.50  0.50  2.00  1.25  0.00 -16.575 -16.556 -17.551 -17.730 -17.564   1.956   1.954   0.335   0.273   0.739   0.737
  127  6250  3.00  0.50  2.00  1.25  0.00 -16.675 -16.655 -17.542 -17.712 -17.551   1.839   1.837   0.339   0.260   0.639   0.638
  128  6250  3.50  0.50  2.00  1.25  0.00 -16.765 -16.745 -17.533 -17.697 -17.540   1.734   1.732   0.342   0.251   0.545   0.543
  129  6250  4.00  0.50  2.00  1.25  0.00 -16.842 -16.822 -17.521 -17.686 -17.530   1.645   1.643   0.344   0.250   0.455   0.454
  130  6250  4.50  0.50  2.00  1.25  0.00 -16.906 -16.886 -17.507 -17.678 -17.522   1.574   1.572   0.344   0.255   0.373   0.371
  131  6250  5.00  0.50  2.00  1.25  0.00 -16.954 -16.933 -17.494 -17.675 -17.517   1.523   1.521   0.342   0.268   0.300   0.299
  132  6500  0.50  0.50  2.00  1.25  0.00 -16.447 -16.428 -17.968 -18.079 -17.812   2.434   2.431   0.233   0.307   1.352   1.350
  133  6500  1.00  0.50  2.00  1.25  0.00 -16.525 -16.505 -17.944 -18.056 -17.801   2.333   2.331   0.245   0.295   1.250   1.248
  134  6500  1.50  0.50  2.00  1.25  0.00 -16.625 -16.605 -17.908 -18.027 -17.791   2.204   2.202   0.264   0.284   1.105   1.103
  135  6500  2.00  0.50  2.00  1.25  0.00 -16.733 -16.713 -17.881 -18.001 -17.779   2.070   2.068   0.278   0.271   0.970   0.968
  136  6500  2.50  0.50  2.00  1.25  0.00 -16.841 -16.821 -17.862 -17.977 -17.765   1.938   1.936   0.288   0.256   0.848   0.846
  137  6500  3.00  0.50  2.00  1.25  0.00 -16.945 -16.924 -17.844 -17.955 -17.751   1.813   1.811   0.296   0.244   0.731   0.729
  138  6500  3.50  0.50  2.00  1.25  0.00 -17.040 -17.020 -17.826 -17.936 -17.738   1.697   1.696   0.302   0.236   0.619   0.617
  139  6500  4.00  0.50  2.00  1.25  0.00 -17.126 -17.105 -17.808 -17.919 -17.725   1.595   1.594   0.306   0.234   0.513   0.511
  140  6500  4.50  0.50  2.00  1.25  0.00 -17.199 -17.179 -17.789 -17.906 -17.715   1.509   1.507   0.309   0.237   0.415   0.414
  141  6500  5.00  0.50  2.00  1.25  0.00 -17.258 -17.238 -17.771 -17.898 -17.707   1.442   1.440   0.309   0.246   0.328   0.327
  142  6750  0.50  0.50  2.00  1.25  0.00 -16.721 -16.700 -18.290 -18.309 -17.991   2.391   2.389   0.181   0.267   1.492   1.490
  143  6750  1.00  0.50  2.00  1.25  0.00 -16.778 -16.757 -18.266 -18.291 -17.981   2.315   2.314   0.190   0.263   1.406   1.405
  144  6750  1.50  0.50  2.00  1.25  0.00 -16.864 -16.844 -18.235 -18.267 -17.972   2.205   2.203   0.205   0.257   1.280   1.278
  145  6750  2.00  0.50  2.00  1.25  0.00 -16.968 -16.948 -18.189 -18.237 -17.964   2.071   2.069   0.227   0.250   1.114   1.113
  146  6750  2.50  0.50  2.00  1.25  0.00 -17.075 -17.055 -18.153 -18.209 -17.952   1.936   1.934   0.243   0.242   0.965   0.963
  147  6750  3.00  0.50  2.00  1.25  0.00 -17.181 -17.160 -18.126 -18.183 -17.938   1.805   1.803   0.254   0.232   0.830   0.828
  148  6750  3.50  0.50  2.00  1.25  0.00 -17.281 -17.260 -18.099 -18.160 -17.923   1.681   1.679   0.263   0.226   0.700   0.699
  149  6750  4.00  0.50  2.00  1.25  0.00 -17.373 -17.353 -18.074 -18.138 -17.909   1.567   1.566   0.270   0.223   0.578   0.576
  150  6750  4.50  0.50  2.00  1.25  0.00 -17.456 -17.435 -18.049 -18.120 -17.896   1.467   1.465   0.276   0.225   0.464   0.463
  151  6750  5.00  0.50  2.00  1.25  0.00 -17.525 -17.504 -18.026 -18.107 -17.885   1.384   1.383   0.279   0.231   0.362   0.361
