        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   106  5750  3.00 -4.00  2.00  1.25  0.00 -16.843 -17.069 -16.939 -24.233  -0.322  -0.177   0.473   0.457
   107  5750  3.50 -4.00  2.00  1.25  0.00 -16.868 -17.045 -16.924 -24.233  -0.337  -0.226   0.482   0.466
   108  5750  4.00 -4.00  2.00  1.25  0.00 -16.883 -17.027 -16.917 -24.233  -0.344  -0.259   0.494   0.478
   109  5750  4.50 -4.00  2.00  1.25  0.00 -16.885 -17.014 -16.919 -24.233  -0.342  -0.273   0.508   0.492
   110  5750  5.00 -4.00  2.00  1.25  0.00 -16.876 -17.004 -16.924 -24.233  -0.336  -0.275   0.524   0.508
   111  6000  0.00 -4.00  2.00  1.25  0.00 -16.943 -17.561 -17.308 -24.417  -0.137   0.211   0.351   0.335
   112  6000  0.50 -4.00  2.00  1.25  0.00 -16.959 -17.529 -17.288 -24.417  -0.158   0.163   0.363   0.347
   113  6000  1.00 -4.00  2.00  1.25  0.00 -16.984 -17.495 -17.265 -24.417  -0.181   0.104   0.373   0.357
   114  6000  1.50 -4.00  2.00  1.25  0.00 -17.012 -17.458 -17.239 -24.417  -0.207   0.039   0.384   0.368
   115  6000  2.00 -4.00  2.00  1.25  0.00 -17.040 -17.419 -17.212 -24.417  -0.234  -0.028   0.396   0.380
   116  6000  2.50 -4.00  2.00  1.25  0.00 -17.067 -17.379 -17.184 -24.417  -0.262  -0.095   0.409   0.393
   117  6000  3.00 -4.00  2.00  1.25  0.00 -17.094 -17.341 -17.158 -24.417  -0.288  -0.159   0.421   0.405
   118  6000  3.50 -4.00  2.00  1.25  0.00 -17.120 -17.308 -17.136 -24.417  -0.309  -0.218   0.432   0.416
   119  6000  4.00 -4.00  2.00  1.25  0.00 -17.143 -17.282 -17.122 -24.417  -0.323  -0.266   0.444   0.428
   120  6000  4.50 -4.00  2.00  1.25  0.00 -17.159 -17.265 -17.118 -24.417  -0.327  -0.298   0.456   0.440
   121  6000  5.00 -4.00  2.00  1.25  0.00 -17.163 -17.254 -17.121 -24.417  -0.324  -0.312   0.471   0.455
   122  6250  0.50 -4.00  2.00  1.25  0.00 -17.240 -17.821 -17.502 -24.595  -0.121   0.171   0.285   0.269
   123  6250  1.00 -4.00  2.00  1.25  0.00 -17.245 -17.779 -17.481 -24.595  -0.142   0.125   0.305   0.289
   124  6250  1.50 -4.00  2.00  1.25  0.00 -17.258 -17.736 -17.455 -24.595  -0.168   0.070   0.323   0.307
