        Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   110  5750  5.00 -4.00  2.00  1.25  0.00 -16.820 -16.800 -17.004 -17.019 -16.935   1.001   1.000   0.416   0.029   0.110   0.109
   111  6000  0.00 -4.00  2.00  1.25  0.00 -16.178 -16.157 -17.624 -17.530 -17.318   2.154   2.153   0.288   0.048   1.481   1.480
   112  6000  0.50 -4.00  2.00  1.25  0.00 -16.317 -16.296 -17.587 -17.501 -17.297   1.986   1.985   0.296   0.047   1.298   1.297
   113  6000  1.00 -4.00  2.00  1.25  0.00 -16.460 -16.439 -17.550 -17.470 -17.274   1.812   1.811   0.304   0.044   1.113   1.112
   114  6000  1.50 -4.00  2.00  1.25  0.00 -16.597 -16.575 -17.510 -17.435 -17.248   1.641   1.640   0.313   0.041   0.930   0.929
   115  6000  2.00 -4.00  2.00  1.25  0.00 -16.720 -16.699 -17.466 -17.398 -17.221   1.480   1.479   0.323   0.038   0.756   0.755
   116  6000  2.50 -4.00  2.00  1.25  0.00 -16.830 -16.809 -17.422 -17.361 -17.193   1.333   1.332   0.332   0.036   0.595   0.594
   117  6000  3.00 -4.00  2.00  1.25  0.00 -16.925 -16.904 -17.379 -17.326 -17.167   1.203   1.202   0.342   0.034   0.450   0.449
   118  6000  3.50 -4.00  2.00  1.25  0.00 -17.005 -16.984 -17.342 -17.296 -17.146   1.093   1.092   0.350   0.033   0.325   0.325
   119  6000  4.00 -4.00  2.00  1.25  0.00 -17.066 -17.045 -17.312 -17.274 -17.132   1.010   1.009   0.359   0.032   0.226   0.226
   120  6000  4.50 -4.00  2.00  1.25  0.00 -17.104 -17.083 -17.290 -17.261 -17.128   0.959   0.958   0.368   0.032   0.157   0.156
   121  6000  5.00 -4.00  2.00  1.25  0.00 -17.118 -17.097 -17.273 -17.254 -17.132   0.938   0.937   0.378   0.032   0.116   0.115
   122  6250  0.50 -4.00  2.00  1.25  0.00 -16.511 -16.490 -17.906 -17.769 -17.511   2.060   2.059   0.242   0.050   1.473   1.473
   123  6250  1.00 -4.00  2.00  1.25  0.00 -16.641 -16.620 -17.856 -17.734 -17.490   1.895   1.894   0.256   0.051   1.280   1.279
   124  6250  1.50 -4.00  2.00  1.25  0.00 -16.772 -16.751 -17.807 -17.696 -17.464   1.726   1.725   0.268   0.050   1.088   1.087
   125  6250  2.00 -4.00  2.00  1.25  0.00 -16.897 -16.875 -17.756 -17.655 -17.436   1.561   1.560   0.281   0.048   0.902   0.901
   126  6250  2.50 -4.00  2.00  1.25  0.00 -17.011 -16.990 -17.704 -17.613 -17.406   1.404   1.404   0.293   0.045   0.725   0.725
   127  6250  3.00 -4.00  2.00  1.25  0.00 -17.113 -17.092 -17.653 -17.572 -17.377   1.260   1.260   0.305   0.043   0.562   0.562
   128  6250  3.50 -4.00  2.00  1.25  0.00 -17.203 -17.182 -17.607 -17.535 -17.350   1.133   1.133   0.315   0.041   0.418   0.417
   129  6250  4.00 -4.00  2.00  1.25  0.00 -17.280 -17.258 -17.568 -17.505 -17.330   1.027   1.026   0.325   0.040   0.295   0.294
   130  6250  4.50 -4.00  2.00  1.25  0.00 -17.337 -17.316 -17.540 -17.484 -17.318   0.948   0.948   0.335   0.039   0.200   0.199
   131  6250  5.00 -4.00  2.00  1.25  0.00 -17.372 -17.351 -17.519 -17.472 -17.316   0.902   0.901   0.344   0.038   0.135   0.135
   132  6500  0.50 -4.00  2.00  1.25  0.00 -16.688 -16.666 -18.213 -18.019 -17.705   2.133   2.133   0.186   0.049   1.661   1.661
   133  6500  1.00 -4.00  2.00  1.25  0.00 -16.804 -16.782 -18.146 -17.983 -17.690   1.981   1.980   0.208   0.057   1.448   1.448
   134  6500  1.50 -4.00  2.00  1.25  0.00 -16.927 -16.905 -18.088 -17.943 -17.668   1.818   1.817   0.225   0.059   1.247   1.247
   135  6500  2.00 -4.00  2.00  1.25  0.00 -17.050 -17.028 -18.030 -17.900 -17.640   1.652   1.652   0.240   0.059   1.052   1.052
   136  6500  2.50 -4.00  2.00  1.25  0.00 -17.167 -17.145 -17.971 -17.854 -17.609   1.490   1.489   0.255   0.057   0.863   0.862
   137  6500  3.00 -4.00  2.00  1.25  0.00 -17.276 -17.254 -17.913 -17.808 -17.577   1.335   1.334   0.269   0.055   0.685   0.684
   138  6500  3.50 -4.00  2.00  1.25  0.00 -17.374 -17.353 -17.860 -17.765 -17.547   1.193   1.192   0.282   0.052   0.522   0.522
   139  6500  4.00 -4.00  2.00  1.25  0.00 -17.462 -17.440 -17.812 -17.727 -17.521   1.067   1.067   0.293   0.050   0.378   0.377
   140  6500  4.50 -4.00  2.00  1.25  0.00 -17.535 -17.514 -17.775 -17.698 -17.502   0.965   0.964   0.304   0.048   0.259   0.259
   141  6500  5.00 -4.00  2.00  1.25  0.00 -17.589 -17.568 -17.748 -17.679 -17.492   0.892   0.891   0.313   0.046   0.170   0.169
   142  6750  0.50 -4.00  2.00  1.25  0.00 -16.864 -16.842 -18.479 -18.246 -17.887   2.183   2.183   0.142   0.054   1.790   1.790
