        Teff log g [M]a  Vturb  l/H   small     big    beta
   276 10750  2.50 -1.00  2.00  0.00 -19.605 -19.716   2.668
   277 10750  3.00 -1.00  2.00  0.00 -19.562 -19.713   2.721
   278 10750  3.50 -1.00  2.00  0.00 -19.506 -19.700   2.778
   279 10750  4.00 -1.00  2.00  0.00 -19.442 -19.682   2.837
   280 10750  4.50 -1.00  2.00  0.00 -19.374 -19.657   2.894
   281 10750  5.00 -1.00  2.00  0.00 -19.308 -19.627   2.941
   282 11000  2.00 -1.00  2.00  0.00 -19.686 -19.755   2.614
   283 11000  2.50 -1.00  2.00  0.00 -19.663 -19.768   2.662
   284 11000  3.00 -1.00  2.00  0.00 -19.621 -19.765   2.712
   285 11000  3.50 -1.00  2.00  0.00 -19.568 -19.753   2.767
   286 11000  4.00 -1.00  2.00  0.00 -19.506 -19.736   2.824
   287 11000  4.50 -1.00  2.00  0.00 -19.439 -19.712   2.881
   288 11000  5.00 -1.00  2.00  0.00 -19.373 -19.684   2.931
   289 11250  2.00 -1.00  2.00  0.00 -19.739 -19.804   2.610
   290 11250  2.50 -1.00  2.00  0.00 -19.717 -19.818   2.656
   291 11250  3.00 -1.00  2.00  0.00 -19.678 -19.815   2.704
   292 11250  3.50 -1.00  2.00  0.00 -19.626 -19.804   2.756
   293 11250  4.00 -1.00  2.00  0.00 -19.567 -19.787   2.812
   294 11250  4.50 -1.00  2.00  0.00 -19.501 -19.765   2.869
   295 11250  5.00 -1.00  2.00  0.00 -19.435 -19.737   2.920
   296 11500  2.00 -1.00  2.00  0.00 -19.790 -19.851   2.605
   297 11500  2.50 -1.00  2.00  0.00 -19.770 -19.866   2.650
   298 11500  3.00 -1.00  2.00  0.00 -19.732 -19.863   2.697
   299 11500  3.50 -1.00  2.00  0.00 -19.682 -19.852   2.747
   300 11500  4.00 -1.00  2.00  0.00 -19.624 -19.836   2.801
   301 11500  4.50 -1.00  2.00  0.00 -19.560 -19.815   2.857
   302 11500  5.00 -1.00  2.00  0.00 -19.494 -19.789   2.909
   303 11750  2.00 -1.00  2.00  0.00 -19.839 -19.897   2.600
   304 11750  2.50 -1.00  2.00  0.00 -19.820 -19.912   2.644
   305 11750  3.00 -1.00  2.00  0.00 -19.783 -19.909   2.690
