        Teff log g  [M]a Vturb  l/H   small     big    beta
   164  7250  1.50  0.00  2.00  1.25 -18.312 -18.497   2.759
   165  7250  2.00  0.00  2.00  1.25 -18.271 -18.470   2.778
   166  7250  2.50  0.00  2.00  1.25 -18.238 -18.440   2.783
   167  7250  3.00  0.00  2.00  1.25 -18.208 -18.410   2.782
   168  7250  3.50  0.00  2.00  1.25 -18.180 -18.378   2.777
   169  7250  4.00  0.00  2.00  1.25 -18.153 -18.347   2.771
   170  7250  4.50  0.00  2.00  1.25 -18.131 -18.319   2.763
   171  7250  5.00  0.00  2.00  1.25 -18.115 -18.296   2.753
   172  7500  0.50  0.00  2.00  1.25 -18.571 -18.672   2.644
   173  7500  1.00  0.00  2.00  1.25 -18.522 -18.676   2.717
   174  7500  1.50  0.00  2.00  1.25 -18.471 -18.658   2.762
   175  7500  2.00  0.00  2.00  1.25 -18.424 -18.633   2.792
   176  7500  2.50  0.00  2.00  1.25 -18.381 -18.604   2.811
   177  7500  3.00  0.00  2.00  1.25 -18.348 -18.572   2.814
   178  7500  3.50  0.00  2.00  1.25 -18.316 -18.539   2.812
   179  7500  4.00  0.00  2.00  1.25 -18.285 -18.505   2.807
   180  7500  4.50  0.00  2.00  1.25 -18.259 -18.473   2.799
   181  7500  5.00  0.00  2.00  1.25 -18.238 -18.445   2.789
   182  7750  1.00  0.00  2.00  1.25 -18.678 -18.814   2.692
   183  7750  1.50  0.00  2.00  1.25 -18.624 -18.803   2.751
   184  7750  2.00  0.00  2.00  1.25 -18.572 -18.783   2.794
   185  7750  2.50  0.00  2.00  1.25 -18.522 -18.756   2.825
   186  7750  3.00  0.00  2.00  1.25 -18.478 -18.724   2.843
   187  7750  3.50  0.00  2.00  1.25 -18.442 -18.690   2.844
   188  7750  4.00  0.00  2.00  1.25 -18.409 -18.654   2.841
   189  7750  4.50  0.00  2.00  1.25 -18.379 -18.619   2.835
   190  7750  5.00  0.00  2.00  1.25 -18.353 -18.586   2.825
   191  8000  1.00  0.00  2.00  1.25 -18.820 -18.928   2.655
   192  8000  1.50  0.00  2.00  1.25 -18.769 -18.934   2.732
   193  8000  2.00  0.00  2.00  1.25 -18.713 -18.918   2.787
   194  8000  2.50  0.00  2.00  1.25 -18.657 -18.895   2.831
   195  8000  3.00  0.00  2.00  1.25 -18.605 -18.864   2.860
   196  8000  3.50  0.00  2.00  1.25 -18.560 -18.829   2.874
   197  8000  4.00  0.00  2.00  1.25 -18.524 -18.793   2.874
   198  8000  4.50  0.00  2.00  1.25 -18.490 -18.756   2.869
   199  8000  5.00  0.00  2.00  1.25 -18.460 -18.719   2.860
   200  8250  1.00  0.00  2.00  1.25 -18.932 -19.010   2.612
   201  8250  1.50  0.00  2.00  1.25 -18.905 -19.048   2.702
   202  8250  2.00  0.00  2.00  1.25 -18.847 -19.040   2.769
   203  8250  2.50  0.00  2.00  1.25 -18.788 -19.019   2.822
   204  8250  3.00  0.00  2.00  1.25 -18.731 -18.991   2.863
   205  8250  3.50  0.00  2.00  1.25 -18.677 -18.958   2.889
   206  8250  4.00  0.00  2.00  1.25 -18.631 -18.921   2.902
   207  8250  4.50  0.00  2.00  1.25 -18.596 -18.884   2.900
   208  8250  5.00  0.00  2.00  1.25 -18.562 -18.846   2.894
   209  8500  1.50  0.00  2.00  1.25 -19.025 -19.144   2.670
   210  8500  2.00  0.00  2.00  1.25 -18.973 -19.147   2.744
   211  8500  2.50  0.00  2.00  1.25 -18.912 -19.132   2.807
   212  8500  3.00  0.00  2.00  1.25 -18.850 -19.107   2.858
   213  8500  3.50  0.00  2.00  1.25 -18.792 -19.076   2.895
   214  8500  4.00  0.00  2.00  1.25 -18.738 -19.040   2.918
   215  8500  4.50  0.00  2.00  1.25 -18.695 -19.002   2.926
   216  8500  5.00  0.00  2.00  1.25 -18.659 -18.965   2.923
   217  8750  1.50  0.00  2.00  1.25 -19.127 -19.226   2.642
   218  8750  2.00  0.00  2.00  1.25 -19.088 -19.241   2.716
   219  8750  2.50  0.00  2.00  1.25 -19.029 -19.232   2.784
   220  8750  3.00  0.00  2.00  1.25 -18.965 -19.212   2.844
   221  8750  3.50  0.00  2.00  1.25 -18.902 -19.184   2.892
   222  8750  4.00  0.00  2.00  1.25 -18.843 -19.150   2.926
   223  8750  4.50  0.00  2.00  1.25 -18.791 -19.111   2.943
   224  8750  5.00  0.00  2.00  1.25 -18.751 -19.074   2.947
   225  9000  1.50  0.00  2.00  0.00 -19.217 -19.300   2.620
   226  9000  2.00  0.00  2.00  0.00 -19.190 -19.325   2.691
   227  9000  2.50  0.00  2.00  0.00 -19.136 -19.322   2.760
   228  9000  3.00  0.00  2.00  0.00 -19.073 -19.306   2.824
   229  9000  3.50  0.00  2.00  0.00 -19.008 -19.281   2.881
   230  9000  4.00  0.00  2.00  0.00 -18.945 -19.250   2.924
   231  9000  4.50  0.00  2.00  0.00 -18.887 -19.213   2.951
   232  9000  5.00  0.00  2.00  0.00 -18.838 -19.173   2.963
   233  9250  2.00  0.00  2.00  0.00 -19.281 -19.402   2.671
   234  9250  2.50  0.00  2.00  0.00 -19.233 -19.402   2.738
   235  9250  3.00  0.00  2.00  0.00 -19.172 -19.389   2.804
   236  9250  3.50  0.00  2.00  0.00 -19.106 -19.368   2.865
   237  9250  4.00  0.00  2.00  0.00 -19.042 -19.340   2.915
   238  9250  4.50  0.00  2.00  0.00 -18.981 -19.306   2.951
   239  9250  5.00  0.00  2.00  0.00 -18.926 -19.266   2.971
   240  9500  2.00  0.00  2.00  0.00 -19.364 -19.473   2.654
   241  9500  2.50  0.00  2.00  0.00 -19.321 -19.477   2.719
   242  9500  3.00  0.00  2.00  0.00 -19.262 -19.466   2.784
   243  9500  3.50  0.00  2.00  0.00 -19.197 -19.447   2.847
   244  9500  4.00  0.00  2.00  0.00 -19.131 -19.421   2.903
   245  9500  4.50  0.00  2.00  0.00 -19.069 -19.390   2.945
   246  9500  5.00  0.00  2.00  0.00 -19.012 -19.353   2.973
   247  9750  2.00  0.00  2.00  0.00 -19.441 -19.540   2.641
   248  9750  2.50  0.00  2.00  0.00 -19.403 -19.546   2.702
   249  9750  3.00  0.00  2.00  0.00 -19.347 -19.537   2.766
   250  9750  3.50  0.00  2.00  0.00 -19.282 -19.519   2.830
   251  9750  4.00  0.00  2.00  0.00 -19.215 -19.495   2.889
   252  9750  4.50  0.00  2.00  0.00 -19.151 -19.466   2.936
   253  9750  5.00  0.00  2.00  0.00 -19.093 -19.432   2.969
   254 10000  2.00  0.00  2.00  0.00 -19.513 -19.603   2.630
