        Teff log g  [M]  Vturb  l/H   small     big    beta
   243  9500  3.50  0.50  2.00  0.00 -19.241 -19.493   2.851
   244  9500  4.00  0.50  2.00  0.00 -19.171 -19.466   2.909
   245  9500  4.50  0.50  2.00  0.00 -19.106 -19.433   2.955
   246  9500  5.00  0.50  2.00  0.00 -19.047 -19.396   2.984
   247  9750  2.00  0.50  2.00  0.00 -19.492 -19.590   2.641
   248  9750  2.50  0.50  2.00  0.00 -19.453 -19.597   2.702
   249  9750  3.00  0.50  2.00  0.00 -19.397 -19.587   2.766
   250  9750  3.50  0.50  2.00  0.00 -19.330 -19.568   2.831
   251  9750  4.00  0.50  2.00  0.00 -19.261 -19.543   2.893
   252  9750  4.50  0.50  2.00  0.00 -19.193 -19.513   2.943
   253  9750  5.00  0.50  2.00  0.00 -19.131 -19.477   2.980
   254 10000  2.00  0.50  2.00  0.00 -19.565 -19.655   2.629
   255 10000  2.50  0.50  2.00  0.00 -19.531 -19.664   2.687
   256 10000  3.00  0.50  2.00  0.00 -19.478 -19.656   2.749
   257 10000  3.50  0.50  2.00  0.00 -19.413 -19.638   2.813
   258 10000  4.00  0.50  2.00  0.00 -19.344 -19.614   2.876
   259 10000  4.50  0.50  2.00  0.00 -19.275 -19.585   2.930
   260 10000  5.00  0.50  2.00  0.00 -19.211 -19.551   2.971
   261 10250  2.00  0.50  2.00  0.00 -19.635 -19.717   2.619
   262 10250  2.50  0.50  2.00  0.00 -19.604 -19.728   2.675
   263 10250  3.00  0.50  2.00  0.00 -19.554 -19.721   2.735
   264 10250  3.50  0.50  2.00  0.00 -19.491 -19.704   2.797
   265 10250  4.00  0.50  2.00  0.00 -19.422 -19.680   2.860
   266 10250  4.50  0.50  2.00  0.00 -19.352 -19.652   2.916
   267 10250  5.00  0.50  2.00  0.00 -19.287 -19.620   2.961
   268 10500  2.00  0.50  2.00  0.00 -19.700 -19.776   2.617
   269 10500  2.50  0.50  2.00  0.00 -19.673 -19.789   2.670
   270 10500  3.00  0.50  2.00  0.00 -19.625 -19.782   2.726
   271 10500  3.50  0.50  2.00  0.00 -19.564 -19.766   2.786
   272 10500  4.00  0.50  2.00  0.00 -19.496 -19.743   2.847
   273 10500  4.50  0.50  2.00  0.00 -19.425 -19.715   2.903
   274 10500  5.00  0.50  2.00  0.00 -19.358 -19.683   2.949
   275 10750  2.00  0.50  2.00  0.00 -19.761 -19.832   2.614
   276 10750  2.50  0.50  2.00  0.00 -19.738 -19.846   2.665
   277 10750  3.00  0.50  2.00  0.00 -19.692 -19.841   2.718
   278 10750  3.50  0.50  2.00  0.00 -19.633 -19.825   2.774
   279 10750  4.00  0.50  2.00  0.00 -19.566 -19.802   2.834
   280 10750  4.50  0.50  2.00  0.00 -19.495 -19.775   2.890
   281 10750  5.00  0.50  2.00  0.00 -19.426 -19.743   2.939
   282 11000  2.00  0.50  2.00  0.00 -19.819 -19.885   2.609
   283 11000  2.50  0.50  2.00  0.00 -19.799 -19.901   2.658
   284 11000  3.00  0.50  2.00  0.00 -19.756 -19.897   2.709
   285 11000  3.50  0.50  2.00  0.00 -19.699 -19.882   2.763
   286 11000  4.00  0.50  2.00  0.00 -19.633 -19.859   2.821
   287 11000  4.50  0.50  2.00  0.00 -19.562 -19.832   2.878
