        Teff log g  [M]a Vturb  l/H   small     big    beta
   225  9000  1.50 -2.00  2.00  0.00 -19.135 -19.222   2.624
   226  9000  2.00 -2.00  2.00  0.00 -19.105 -19.245   2.697
   227  9000  2.50 -2.00  2.00  0.00 -19.048 -19.239   2.767
   228  9000  3.00 -2.00  2.00  0.00 -18.982 -19.220   2.831
   229  9000  3.50 -2.00  2.00  0.00 -18.916 -19.192   2.883
   230  9000  4.00 -2.00  2.00  0.00 -18.856 -19.158   2.919
   231  9000  4.50 -2.00  2.00  0.00 -18.803 -19.119   2.939
   232  9000  5.00 -2.00  2.00  0.00 -18.764 -19.086   2.947
   233  9250  2.00 -2.00  2.00  0.00 -19.193 -19.317   2.676
   234  9250  2.50 -2.00  2.00  0.00 -19.143 -19.317   2.745
   235  9250  3.00 -2.00  2.00  0.00 -19.079 -19.303   2.812
   236  9250  3.50 -2.00  2.00  0.00 -19.011 -19.279   2.872
   237  9250  4.00 -2.00  2.00  0.00 -18.947 -19.247   2.917
   238  9250  4.50 -2.00  2.00  0.00 -18.890 -19.211   2.945
   239  9250  5.00 -2.00  2.00  0.00 -18.843 -19.173   2.958
   240  9500  2.00 -2.00  2.00  0.00 -19.272 -19.384   2.659
   241  9500  2.50 -2.00  2.00  0.00 -19.228 -19.388   2.725
   242  9500  3.00 -2.00  2.00  0.00 -19.168 -19.377   2.793
   243  9500  3.50 -2.00  2.00  0.00 -19.100 -19.357   2.857
   244  9500  4.00 -2.00  2.00  0.00 -19.034 -19.329   2.909
   245  9500  4.50 -2.00  2.00  0.00 -18.973 -19.295   2.946
   246  9500  5.00 -2.00  2.00  0.00 -18.921 -19.257   2.966
   247  9750  2.00 -2.00  2.00  0.00 -19.345 -19.447   2.646
   248  9750  2.50 -2.00  2.00  0.00 -19.306 -19.454   2.708
   249  9750  3.00 -2.00  2.00  0.00 -19.250 -19.446   2.774
   250  9750  3.50 -2.00  2.00  0.00 -19.184 -19.428   2.840
   251  9750  4.00 -2.00  2.00  0.00 -19.117 -19.403   2.898
   252  9750  4.50 -2.00  2.00  0.00 -19.053 -19.372   2.942
   253  9750  5.00 -2.00  2.00  0.00 -18.998 -19.336   2.969
   254 10000  2.00 -2.00  2.00  0.00 -19.412 -19.507   2.635
   255 10000  2.50 -2.00  2.00  0.00 -19.378 -19.516   2.694
   256 10000  3.00 -2.00  2.00  0.00 -19.326 -19.510   2.757
   257 10000  3.50 -2.00  2.00  0.00 -19.263 -19.494   2.823
   258 10000  4.00 -2.00  2.00  0.00 -19.195 -19.472   2.885
   259 10000  4.50 -2.00  2.00  0.00 -19.130 -19.443   2.935
   260 10000  5.00 -2.00  2.00  0.00 -19.071 -19.409   2.968
   261 10250  2.00 -2.00  2.00  0.00 -19.476 -19.564   2.626
   262 10250  2.50 -2.00  2.00  0.00 -19.445 -19.574   2.683
   263 10250  3.00 -2.00  2.00  0.00 -19.397 -19.569   2.743
   264 10250  3.50 -2.00  2.00  0.00 -19.336 -19.556   2.807
   265 10250  4.00 -2.00  2.00  0.00 -19.269 -19.536   2.870
   266 10250  4.50 -2.00  2.00  0.00 -19.203 -19.509   2.924
   267 10250  5.00 -2.00  2.00  0.00 -19.143 -19.477   2.963
   268 10500  2.00 -2.00  2.00  0.00 -19.537 -19.619   2.625
   269 10500  2.50 -2.00  2.00  0.00 -19.509 -19.630   2.678
   270 10500  3.00 -2.00  2.00  0.00 -19.463 -19.626   2.734
   271 10500  3.50 -2.00  2.00  0.00 -19.405 -19.614   2.796
   272 10500  4.00 -2.00  2.00  0.00 -19.340 -19.595   2.857
   273 10500  4.50 -2.00  2.00  0.00 -19.273 -19.570   2.913
   274 10500  5.00 -2.00  2.00  0.00 -19.211 -19.540   2.955
   275 10750  2.00 -2.00  2.00  0.00 -19.595 -19.672   2.623
   276 10750  2.50 -2.00  2.00  0.00 -19.568 -19.683   2.673
   277 10750  3.00 -2.00  2.00  0.00 -19.525 -19.680   2.726
   278 10750  3.50 -2.00  2.00  0.00 -19.470 -19.669   2.784
   279 10750  4.00 -2.00  2.00  0.00 -19.407 -19.652   2.844
   280 10750  4.50 -2.00  2.00  0.00 -19.340 -19.628   2.901
   281 10750  5.00 -2.00  2.00  0.00 -19.277 -19.600   2.947
   282 11000  2.00 -2.00  2.00  0.00 -19.650 -19.723   2.619
   283 11000  2.50 -2.00  2.00  0.00 -19.625 -19.734   2.667
   284 11000  3.00 -2.00  2.00  0.00 -19.584 -19.732   2.718
   285 11000  3.50 -2.00  2.00  0.00 -19.531 -19.721   2.774
   286 11000  4.00 -2.00  2.00  0.00 -19.470 -19.705   2.832
   287 11000  4.50 -2.00  2.00  0.00 -19.405 -19.683   2.889
   288 11000  5.00 -2.00  2.00  0.00 -19.340 -19.657   2.937
   289 11250  2.00 -2.00  2.00  0.00 -19.704 -19.772   2.614
   290 11250  2.50 -2.00  2.00  0.00 -19.680 -19.784   2.661
   291 11250  3.00 -2.00  2.00  0.00 -19.640 -19.781   2.709
   292 11250  3.50 -2.00  2.00  0.00 -19.589 -19.771   2.763
   293 11250  4.00 -2.00  2.00  0.00 -19.531 -19.756   2.819
   294 11250  4.50 -2.00  2.00  0.00 -19.466 -19.736   2.877
   295 11250  5.00 -2.00  2.00  0.00 -19.402 -19.710   2.928
   296 11500  2.00 -2.00  2.00  0.00 -19.755 -19.820   2.609
   297 11500  2.50 -2.00  2.00  0.00 -19.732 -19.832   2.655
   298 11500  3.00 -2.00  2.00  0.00 -19.693 -19.829   2.702
   299 11500  3.50 -2.00  2.00  0.00 -19.644 -19.819   2.753
   300 11500  4.00 -2.00  2.00  0.00 -19.588 -19.805   2.808
   301 11500  4.50 -2.00  2.00  0.00 -19.525 -19.785   2.865
   302 11500  5.00 -2.00  2.00  0.00 -19.461 -19.761   2.917
   303 11750  2.00 -2.00  2.00  0.00 -19.805 -19.866   2.605
   304 11750  2.50 -2.00  2.00  0.00 -19.783 -19.878   2.649
   305 11750  3.00 -2.00  2.00  0.00 -19.745 -19.875   2.695
   306 11750  3.50 -2.00  2.00  0.00 -19.697 -19.866   2.745
   307 11750  4.00 -2.00  2.00  0.00 -19.642 -19.852   2.798
   308 11750  4.50 -2.00  2.00  0.00 -19.581 -19.833   2.853
   309 11750  5.00 -2.00  2.00  0.00 -19.518 -19.810   2.906
   310 12000  2.50 -2.00  2.00  0.00 -19.831 -19.923   2.644
   311 12000  3.00 -2.00  2.00  0.00 -19.794 -19.920   2.689
   312 12000  3.50 -2.00  2.00  0.00 -19.748 -19.910   2.737
   313 12000  4.00 -2.00  2.00  0.00 -19.695 -19.897   2.789
   314 12000  4.50 -2.00  2.00  0.00 -19.635 -19.879   2.843
   315 12000  5.00 -2.00  2.00  0.00 -19.573 -19.857   2.895
   316 12250  2.50 -2.00  2.00  0.00 -19.879 -19.966   2.639
   317 12250  3.00 -2.00  2.00  0.00 -19.842 -19.963   2.683
   318 12250  3.50 -2.00  2.00  0.00 -19.796 -19.953   2.730
   319 12250  4.00 -2.00  2.00  0.00 -19.744 -19.940   2.780
   320 12250  4.50 -2.00  2.00  0.00 -19.687 -19.923   2.833
   321 12250  5.00 -2.00  2.00  0.00 -19.626 -19.902   2.885
   322 12500  2.50 -2.00  2.00  0.00 -19.924 -20.008   2.635
   323 12500  3.00 -2.00  2.00  0.00 -19.888 -20.005   2.678
   324 12500  3.50 -2.00  2.00  0.00 -19.843 -19.995   2.724
   325 12500  4.00 -2.00  2.00  0.00 -19.792 -19.982   2.773
   326 12500  4.50 -2.00  2.00  0.00 -19.737 -19.966   2.824
   327 12500  5.00 -2.00  2.00  0.00 -19.677 -19.945   2.875
   328 12750  2.50 -2.00  2.00  0.00 -19.968 -20.049   2.631
   329 12750  3.00 -2.00  2.00  0.00 -19.932 -20.046   2.673
   330 12750  3.50 -2.00  2.00  0.00 -19.888 -20.036   2.718
   331 12750  4.00 -2.00  2.00  0.00 -19.839 -20.023   2.766
   332 12750  4.50 -2.00  2.00  0.00 -19.785 -20.007   2.816
   333 12750  5.00 -2.00  2.00  0.00 -19.726 -19.987   2.866
   334 13000  2.50 -2.00  2.00  0.00 -20.011 -20.089   2.627
   335 13000  3.00 -2.00  2.00  0.00 -19.975 -20.085   2.668
   336 13000  3.50 -2.00  2.00  0.00 -19.932 -20.075   2.712
   337 13000  4.00 -2.00  2.00  0.00 -19.883 -20.063   2.759
   338 13000  4.50 -2.00  2.00  0.00 -19.831 -20.047   2.808
   339 13000  5.00 -2.00  2.00  0.00 -19.773 -20.028   2.857
   340 14000  2.00 -2.00  2.00  0.00 -20.191 -20.227   2.571
   341 14000  2.50 -2.00  2.00  0.00 -20.173 -20.241   2.613
   342 14000  3.00 -2.00  2.00  0.00 -20.137 -20.235   2.652
   343 14000  3.50 -2.00  2.00  0.00 -20.095 -20.224   2.693
   344 14000  4.00 -2.00  2.00  0.00 -20.049 -20.211   2.736
   345 14000  4.50 -2.00  2.00  0.00 -20.000 -20.196   2.781
   346 14000  5.00 -2.00  2.00  0.00 -19.947 -20.179   2.827
   347 15000  2.50 -2.00  2.00  0.00 -20.322 -20.380   2.601
   348 15000  3.00 -2.00  2.00  0.00 -20.284 -20.372   2.639
   349 15000  3.50 -2.00  2.00  0.00 -20.242 -20.359   2.678
   350 15000  4.00 -2.00  2.00  0.00 -20.197 -20.345   2.718
   351 15000  4.50 -2.00  2.00  0.00 -20.151 -20.331   2.760
   352 15000  5.00 -2.00  2.00  0.00 -20.102 -20.315   2.802
   353 16000  2.50 -2.00  2.00  0.00 -20.460 -20.509   2.589
   354 16000  3.00 -2.00  2.00  0.00 -20.421 -20.499   2.627
   355 16000  3.50 -2.00  2.00  0.00 -20.378 -20.485   2.664
   356 16000  4.00 -2.00  2.00  0.00 -20.334 -20.470   2.703
   357 16000  4.50 -2.00  2.00  0.00 -20.289 -20.455   2.743
   358 16000  5.00 -2.00  2.00  0.00 -20.242 -20.440   2.783
   359 17000  2.50 -2.00  2.00  0.00 -20.589 -20.630   2.579
   360 17000  3.00 -2.00  2.00  0.00 -20.549 -20.619   2.616
   361 17000  3.50 -2.00  2.00  0.00 -20.505 -20.602   2.652
   362 17000  4.00 -2.00  2.00  0.00 -20.460 -20.586   2.690
   363 17000  4.50 -2.00  2.00  0.00 -20.416 -20.571   2.728
   364 17000  5.00 -2.00  2.00  0.00 -20.371 -20.556   2.766
   365 18000  2.50 -2.00  2.00  0.00 -20.710 -20.744   2.570
   366 18000  3.00 -2.00  2.00  0.00 -20.670 -20.733   2.606
   367 18000  3.50 -2.00  2.00  0.00 -20.625 -20.714   2.641
   368 18000  4.00 -2.00  2.00  0.00 -20.579 -20.696   2.677
   369 18000  4.50 -2.00  2.00  0.00 -20.535 -20.680   2.714
   370 18000  5.00 -2.00  2.00  0.00 -20.491 -20.665   2.751
   371 19000  2.50 -2.00  2.00  0.00 -20.824 -20.852   2.561
   372 19000  3.00 -2.00  2.00  0.00 -20.785 -20.840   2.597
   373 19000  3.50 -2.00  2.00  0.00 -20.738 -20.820   2.631
   374 19000  4.00 -2.00  2.00  0.00 -20.693 -20.801   2.666
   375 19000  4.50 -2.00  2.00  0.00 -20.648 -20.784   2.702
