ITLE SDSC GRID  [+0.0]   VTURB 8.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
2.83935100E-02   2195.9 8.965E-02 1.579E+06 8.935E-06 4.161E-03 8.000E+05 0.000E+00 0.000E+00
3.71071662E-02   2216.4 1.172E-01 2.064E+06 9.218E-06 3.716E-03 8.000E+05 0.000E+00 0.000E+00
4.83514456E-02   2237.7 1.527E-01 2.693E+06 9.538E-06 3.322E-03 8.000E+05 0.000E+00 0.000E+00
6.27981991E-02   2260.9 1.983E-01 3.514E+06 9.930E-06 3.003E-03 8.000E+05 0.000E+00 0.000E+00
8.12400486E-02   2285.9 2.566E-01 4.581E+06 1.040E-05 2.745E-03 8.000E+05 0.000E+00 0.000E+00
1.04769091E-01   2307.9 3.309E-01 5.919E+06 1.084E-05 2.476E-03 8.000E+05 0.000E+00 0.000E+00
1.34953643E-01   2328.3 4.263E-01 7.612E+06 1.126E-05 2.225E-03 8.000E+05 0.000E+00 0.000E+00
1.73606130E-01   2349.8 5.485E-01 9.795E+06 1.175E-05 2.027E-03 8.000E+05 0.000E+00 0.000E+00
2.22828471E-01   2372.5 7.040E-01 1.260E+07 1.234E-05 1.870E-03 8.000E+05 0.000E+00 0.000E+00
2.85139484E-01   2396.4 9.010E-01 1.619E+07 1.303E-05 1.741E-03 8.000E+05 0.000E+00 0.000E+00
3.63928028E-01   2417.0 1.150E+00 2.064E+07 1.372E-05 1.590E-03 8.000E+05 0.000E+00 0.000E+00
4.63608340E-01   2437.2 1.465E+00 2.622E+07 1.449E-05 1.462E-03 8.000E+05 0.000E+00 0.000E+00
5.89154080E-01   2458.2 1.862E+00 3.329E+07 1.538E-05 1.360E-03 8.000E+05 0.000E+00 0.000E+00
7.46347989E-01   2480.0 2.359E+00 4.219E+07 1.643E-05 1.278E-03 8.000E+05 0.000E+00 0.000E+00
9.41955981E-01   2502.7 2.977E+00 5.338E+07 1.766E-05 1.209E-03 8.000E+05 0.000E+00 0.000E+00
1.18433898E+00   2523.6 3.743E+00 6.708E+07 1.902E-05 1.129E-03 8.000E+05 0.000E+00 0.000E+00
1.48370688E+00   2543.8 4.690E+00 8.391E+07 2.058E-05 1.052E-03 8.000E+05 0.000E+00 0.000E+00
1.85153972E+00   2564.7 5.852E+00 1.047E+08 2.240E-05 9.868E-04 8.000E+05 0.000E+00 0.000E+00
