
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  121  6000  5.00 -0.50  2.00  1.25  0.00 -16.848 -16.827 -17.269 -17.401 -17.261   1.355   1.354   0.360   0.201   0.232   0.231
  122  6250  0.50 -0.50  2.00  1.25  0.00 -16.369 -16.349 -17.810 -17.805 -17.562   2.238   2.236   0.257   0.168   1.387   1.386
  123  6250  1.00 -0.50  2.00  1.25  0.00 -16.479 -16.458 -17.773 -17.780 -17.550   2.103   2.101   0.270   0.166   1.230   1.229
  124  6250  1.50 -0.50  2.00  1.25  0.00 -16.596 -16.575 -17.745 -17.754 -17.534   1.960   1.959   0.280   0.158   1.081   1.080
  125  6250  2.00 -0.50  2.00  1.25  0.00 -16.712 -16.691 -17.716 -17.728 -17.518   1.818   1.817   0.290   0.152   0.934   0.933
  126  6250  2.50 -0.50  2.00  1.25  0.00 -16.821 -16.800 -17.685 -17.702 -17.501   1.683   1.681   0.299   0.147   0.789   0.788
  127  6250  3.00 -0.50  2.00  1.25  0.00 -16.921 -16.900 -17.654 -17.677 -17.484   1.558   1.557   0.307   0.145   0.652   0.651
  128  6250  3.50 -0.50  2.00  1.25  0.00 -17.008 -16.987 -17.623 -17.655 -17.469   1.448   1.447   0.315   0.146   0.526   0.525
  129  6250  4.00 -0.50  2.00  1.25  0.00 -17.081 -17.060 -17.595 -17.637 -17.458   1.357   1.356   0.321   0.150   0.414   0.413
  130  6250  4.50 -0.50  2.00  1.25  0.00 -17.136 -17.115 -17.570 -17.625 -17.451   1.290   1.289   0.326   0.158   0.320   0.319
  131  6250  5.00 -0.50  2.00  1.25  0.00 -17.171 -17.150 -17.547 -17.619 -17.449   1.250   1.249   0.330   0.171   0.247   0.246
  132  6500  0.50 -0.50  2.00  1.25  0.00 -16.599 -16.577 -18.142 -18.055 -17.752   2.259   2.258   0.197   0.145   1.573   1.572
  133  6500  1.00 -0.50  2.00  1.25  0.00 -16.695 -16.674 -18.092 -18.028 -17.745   2.135   2.134   0.217   0.148   1.403   1.402
  134  6500  1.50 -0.50  2.00  1.25  0.00 -16.805 -16.784 -18.046 -17.999 -17.732   1.996   1.995   0.233   0.149   1.229   1.229
  135  6500  2.00 -0.50  2.00  1.25  0.00 -16.918 -16.897 -18.007 -17.969 -17.716   1.853   1.852   0.246   0.145   1.068   1.068
  136  6500  2.50 -0.50  2.00  1.25  0.00 -17.030 -17.008 -17.969 -17.939 -17.697   1.711   1.710   0.258   0.141   0.911   0.910
  137  6500  3.00 -0.50  2.00  1.25  0.00 -17.135 -17.114 -17.930 -17.908 -17.678   1.575   1.574   0.269   0.138   0.758   0.757
  138  6500  3.50 -0.50  2.00  1.25  0.00 -17.232 -17.211 -17.892 -17.879 -17.659   1.449   1.448   0.279   0.137   0.614   0.613
  139  6500  4.00 -0.50  2.00  1.25  0.00 -17.318 -17.297 -17.857 -17.854 -17.642   1.338   1.337   0.288   0.139   0.483   0.482
  140  6500  4.50 -0.50  2.00  1.25  0.00 -17.390 -17.368 -17.826 -17.835 -17.630   1.247   1.247   0.295   0.143   0.369   0.368
  141  6500  5.00 -0.50  2.00  1.25  0.00 -17.443 -17.422 -17.799 -17.823 -17.624   1.182   1.181   0.301   0.151   0.275   0.274
  142  6750  0.50 -0.50  2.00  1.25  0.00 -16.818 -16.796 -18.425 -18.279 -17.932   2.263   2.263   0.153   0.130   1.695   1.694
  143  6750  1.00 -0.50  2.00  1.25  0.00 -16.892 -16.871 -18.392 -18.260 -17.923   2.169   2.169   0.163   0.133   1.575   1.574
  144  6750  1.50 -0.50  2.00  1.25  0.00 -16.994 -16.972 -18.335 -18.229 -17.915   2.038   2.037   0.186   0.138   1.388   1.388
  145  6750  2.00 -0.50  2.00  1.25  0.00 -17.102 -17.081 -18.280 -18.197 -17.901   1.896   1.896   0.205   0.141   1.203   1.202
  146  6750  2.50 -0.50  2.00  1.25  0.00 -17.212 -17.191 -18.233 -18.163 -17.883   1.753   1.752   0.220   0.140   1.032   1.031
  147  6750  3.00 -0.50  2.00  1.25  0.00 -17.321 -17.299 -18.187 -18.129 -17.862   1.610   1.609   0.233   0.138   0.866   0.865
  148  6750  3.50 -0.50  2.00  1.25  0.00 -17.424 -17.402 -18.142 -18.094 -17.840   1.473   1.472   0.246   0.136   0.708   0.707
  149  6750  4.00 -0.50  2.00  1.25  0.00 -17.518 -17.497 -18.100 -18.062 -17.819   1.346   1.345   0.256   0.135   0.561   0.560
  150  6750  4.50 -0.50  2.00  1.25  0.00 -17.603 -17.581 -18.062 -18.035 -17.801   1.235   1.234   0.266   0.137   0.428   0.427
  151  6750  5.00 -0.50  2.00  1.25  0.00 -17.673 -17.651 -18.030 -18.015 -17.788   1.144   1.144   0.274   0.140   0.314   0.314
  152  7000  0.50 -0.50  2.00  1.25  0.00 -17.039 -17.017 -18.670 -18.478 -18.099   2.241   2.241   0.120   0.117   1.764   1.764
  153  7000  1.00 -0.50  2.00  1.25  0.00 -17.088 -17.067 -18.649 -18.467 -18.091   2.180   2.180   0.124   0.123   1.684   1.684
  154  7000  1.50 -0.50  2.00  1.25  0.00 -17.171 -17.149 -18.608 -18.445 -18.082   2.077   2.076   0.137   0.129   1.542   1.542
  155  7000  2.00 -0.50  2.00  1.25  0.00 -17.273 -17.251 -18.543 -18.412 -18.073   1.941   1.941   0.161   0.137   1.343   1.343
  156  7000  2.50 -0.50  2.00  1.25  0.00 -17.380 -17.358 -18.482 -18.376 -18.058   1.798   1.797   0.182   0.141   1.150   1.150
  157  7000  3.00 -0.50  2.00  1.25  0.00 -17.487 -17.465 -18.428 -18.338 -18.037   1.653   1.653   0.198   0.141   0.973   0.973
  158  7000  3.50 -0.50  2.00  1.25  0.00 -17.592 -17.570 -18.376 -18.300 -18.013   1.511   1.510   0.213   0.140   0.802   0.802
  159  7000  4.00 -0.50  2.00  1.25  0.00 -17.692 -17.670 -18.327 -18.263 -17.989   1.374   1.373   0.226   0.139   0.642   0.641
  160  7000  4.50 -0.50  2.00  1.25  0.00 -17.784 -17.763 -18.283 -18.229 -17.967   1.247   1.247   0.237   0.139   0.494   0.493
  161  7000  5.00 -0.50  2.00  1.25  0.00 -17.866 -17.844 -18.244 -18.201 -17.949   1.138   1.137   0.247   0.139   0.363   0.362
  162  7250  0.50 -0.50  2.00  1.25  0.00 -17.276 -17.254 -18.872 -18.651 -18.253   2.177   2.177   0.102   0.106   1.758   1.758
  163  7250  1.00 -0.50  2.00  1.25  0.00 -17.290 -17.268 -18.872 -18.651 -18.246   2.163   2.163   0.095   0.113   1.745   1.745
  164  7250  1.50 -0.50  2.00  1.25  0.00 -17.352 -17.330 -18.841 -18.637 -18.240   2.087   2.087   0.102   0.122   1.635   1.635
  165  7250  2.00 -0.50  2.00  1.25  0.00 -17.438 -17.416 -18.794 -18.613 -18.230   1.978   1.977   0.117   0.132   1.478   1.478
  166  7250  2.50 -0.50  2.00  1.25  0.00 -17.538 -17.516 -18.723 -18.577 -18.220   1.841   1.841   0.143   0.141   1.273   1.272
  167  7250  3.00 -0.50  2.00  1.25  0.00 -17.642 -17.620 -18.657 -18.537 -18.201   1.698   1.697   0.164   0.145   1.077   1.076
  168  7250  3.50 -0.50  2.00  1.25  0.00 -17.745 -17.724 -18.598 -18.497 -18.178   1.554   1.553   0.181   0.147   0.896   0.896
  169  7250  4.00 -0.50  2.00  1.25  0.00 -17.847 -17.825 -18.542 -18.456 -18.152   1.411   1.411   0.196   0.146   0.724   0.724
  170  7250  4.50 -0.50  2.00  1.25  0.00 -17.944 -17.923 -18.491 -18.417 -18.126   1.275   1.274   0.210   0.145   0.563   0.562
  171  7250  5.00 -0.50  2.00  1.25  0.00 -18.034 -18.012 -18.445 -18.382 -18.103   1.150   1.150   0.222   0.144   0.417   0.416
  172  7500  0.50 -0.50  2.00  1.25  0.00 -17.554 -17.532 -19.006 -18.783 -18.394   2.031   2.031   0.111   0.095   1.617   1.617
  173  7500  1.00 -0.50  2.00  1.25  0.00 -17.505 -17.483 -19.063 -18.812 -18.388   2.109   2.109   0.076   0.102   1.751   1.751
  174  7500  1.50 -0.50  2.00  1.25  0.00 -17.540 -17.518 -19.045 -18.807 -18.384   2.069   2.069   0.077   0.113   1.685   1.685
  175  7500  2.00 -0.50  2.00  1.25  0.00 -17.608 -17.586 -19.007 -18.791 -18.377   1.985   1.985   0.086   0.127   1.557   1.557
  176  7500  2.50 -0.50  2.00  1.25  0.00 -17.693 -17.672 -18.952 -18.765 -18.367   1.873   1.873   0.102   0.139   1.389   1.388
  177  7500  3.00 -0.50  2.00  1.25  0.00 -17.790 -17.768 -18.877 -18.726 -18.354   1.738   1.737   0.129   0.149   1.180   1.180
  178  7500  3.50 -0.50  2.00  1.25  0.00 -17.890 -17.868 -18.808 -18.683 -18.333   1.595   1.595   0.150   0.154   0.985   0.985
