
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
  109  5750  4.50 -0.50  2.00  1.25  0.00   1.492   1.491   0.392   0.219   0.267   0.266   2.580   0.415   0.051
  110  5750  5.00 -0.50  2.00  1.25  0.00   1.496   1.495   0.391   0.240   0.231   0.231   2.575   0.415   0.043
  111  6000  0.00 -0.50  2.00  1.25  0.00   2.355   2.353   0.309   0.198   1.340   1.338   2.643   0.488   0.369
  112  6000  0.50 -0.50  2.00  1.25  0.00   2.225   2.224   0.317   0.193   1.203   1.201   2.642   0.472   0.321
  113  6000  1.00 -0.50  2.00  1.25  0.00   2.083   2.082   0.323   0.183   1.069   1.068   2.638   0.453   0.278
  114  6000  1.50 -0.50  2.00  1.25  0.00   1.940   1.939   0.329   0.173   0.934   0.933   2.634   0.433   0.235
  115  6000  2.00 -0.50  2.00  1.25  0.00   1.803   1.802   0.335   0.165   0.801   0.800   2.629   0.414   0.193
  116  6000  2.50 -0.50  2.00  1.25  0.00   1.679   1.678   0.341   0.161   0.673   0.672   2.622   0.398   0.154
  117  6000  3.00 -0.50  2.00  1.25  0.00   1.571   1.569   0.347   0.161   0.554   0.553   2.616   0.385   0.118
  118  6000  3.50 -0.50  2.00  1.25  0.00   1.481   1.480   0.351   0.164   0.449   0.448   2.610   0.372   0.087
  119  6000  4.00 -0.50  2.00  1.25  0.00   1.414   1.413   0.355   0.172   0.358   0.357   2.604   0.364   0.061
  120  6000  4.50 -0.50  2.00  1.25  0.00   1.371   1.370   0.358   0.184   0.286   0.285   2.598   0.360   0.042
  121  6000  5.00 -0.50  2.00  1.25  0.00   1.355   1.354   0.360   0.201   0.232   0.231   2.593   0.359   0.028
  122  6250  0.50 -0.50  2.00  1.25  0.00   2.238   2.236   0.257   0.168   1.387   1.386   2.664   0.415   0.368
  123  6250  1.00 -0.50  2.00  1.25  0.00   2.103   2.101   0.270   0.166   1.230   1.229   2.663   0.403   0.313
