
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   76  5000  4.50 -0.50  2.00  0.00  0.00 -15.033 -15.012 -15.809 -16.276 -16.286   2.045   2.044   0.510   0.385   0.251   0.251
   77  5000  5.00 -0.50  2.00  0.00  0.00 -14.994 -14.972 -15.798 -16.284 -16.287   2.092   2.092   0.503   0.412   0.260   0.260
   78  5250  0.00 -0.50  2.00  0.00  0.00 -14.803 -14.785 -16.121 -16.565 -16.606   2.564   2.560   0.541   0.332   0.817   0.813
   79  5250  0.50 -0.50  2.00  0.00  0.00 -14.978 -14.960 -16.169 -16.578 -16.600   2.401   2.398   0.523   0.315   0.724   0.720
   80  5250  1.00 -0.50  2.00  0.00  0.00 -15.139 -15.120 -16.207 -16.586 -16.595   2.249   2.246   0.509   0.299   0.631   0.628
   81  5250  1.50 -0.50  2.00  0.00  0.00 -15.276 -15.257 -16.234 -16.589 -16.588   2.115   2.112   0.499   0.286   0.544   0.541
   82  5250  2.00 -0.50  2.00  0.00  0.00 -15.387 -15.368 -16.250 -16.590 -16.582   2.004   2.002   0.492   0.276   0.465   0.462
   83  5250  2.50 -0.50  2.00  0.00  0.00 -15.475 -15.455 -16.258 -16.589 -16.576   1.916   1.914   0.487   0.272   0.395   0.393
   84  5250  3.00 -0.50  2.00  0.00  0.00 -15.537 -15.517 -16.260 -16.588 -16.572   1.853   1.851   0.484   0.274   0.336   0.334
   85  5250  3.50 -0.50  2.00  0.00  0.00 -15.577 -15.557 -16.257 -16.590 -16.569   1.815   1.813   0.479   0.283   0.289   0.288
   86  5250  4.00 -0.50  2.00  0.00  0.00 -15.593 -15.573 -16.251 -16.594 -16.569   1.803   1.801   0.475   0.298   0.256   0.254
   87  5250  4.50 -0.50  2.00  0.00  0.00 -15.586 -15.565 -16.241 -16.601 -16.570   1.817   1.816   0.470   0.319   0.237   0.236
   88  5250  5.00 -0.50  2.00  0.00  0.00 -15.559 -15.538 -16.229 -16.609 -16.573   1.852   1.851   0.464   0.345   0.232   0.231
   89  5500  0.00 -0.50  2.00  0.00  0.00 -15.276 -15.257 -16.628 -16.930 -16.886   2.456   2.453   0.456   0.276   0.991   0.988
   90  5500  0.50 -0.50  2.00  0.00  0.00 -15.431 -15.412 -16.649 -16.926 -16.874   2.297   2.295   0.448   0.259   0.882   0.880
   91  5500  1.00 -0.50  2.00  0.00  0.00 -15.580 -15.561 -16.665 -16.922 -16.863   2.143   2.141   0.441   0.244   0.771   0.768
   92  5500  1.50 -0.50  2.00  0.00  0.00 -15.714 -15.694 -16.674 -16.915 -16.852   2.003   2.001   0.437   0.232   0.662   0.660
   93  5500  2.00 -0.50  2.00  0.00  0.00 -15.826 -15.807 -16.676 -16.907 -16.842   1.883   1.880   0.435   0.224   0.561   0.559
   94  5500  2.50 -0.50  2.00  0.00  0.00 -15.919 -15.899 -16.673 -16.899 -16.834   1.782   1.780   0.435   0.220   0.471   0.469
   95  5500  3.00 -0.50  2.00  0.00  0.00 -15.990 -15.969 -16.665 -16.893 -16.827   1.705   1.703   0.434   0.222   0.391   0.389
   96  5500  3.50 -0.50  2.00  0.00  0.00 -16.040 -16.020 -16.656 -16.889 -16.822   1.651   1.649   0.433   0.229   0.325   0.323
   97  5500  4.00 -0.50  2.00  0.00  0.00 -16.069 -16.048 -16.643 -16.888 -16.821   1.622   1.620   0.432   0.241   0.272   0.271
   98  5500  4.50 -0.50  2.00  0.00  0.00 -16.074 -16.054 -16.630 -16.891 -16.822   1.619   1.618   0.431   0.260   0.236   0.235
   99  5500  5.00 -0.50  2.00  0.00  0.00 -16.061 -16.040 -16.615 -16.897 -16.825   1.638   1.638   0.428   0.283   0.215   0.214
  100  5750  0.00 -0.50  2.00  0.00  0.00 -15.661 -15.641 -17.076 -17.260 -17.139   2.402   2.399   0.379   0.234   1.173   1.171
  101  5750  0.50 -0.50  2.00  0.00  0.00 -15.797 -15.777 -17.075 -17.245 -17.124   2.250   2.248   0.379   0.219   1.052   1.049
  102  5750  1.00 -0.50  2.00  0.00  0.00 -15.936 -15.916 -17.075 -17.230 -17.110   2.096   2.094   0.380   0.204   0.926   0.924
  103  5750  1.50 -0.50  2.00  0.00  0.00 -16.068 -16.048 -17.070 -17.214 -17.095   1.949   1.947   0.381   0.193   0.799   0.797
  104  5750  2.00 -0.50  2.00  0.00  0.00 -16.185 -16.165 -17.060 -17.199 -17.082   1.816   1.814   0.383   0.185   0.678   0.676
  105  5750  2.50 -0.50  2.00  0.00  0.00 -16.285 -16.265 -17.046 -17.184 -17.070   1.700   1.699   0.386   0.181   0.565   0.563
  106  5750  3.00 -0.50  2.00  0.00  0.00 -16.367 -16.347 -17.030 -17.171 -17.060   1.606   1.604   0.389   0.181   0.463   0.462
  107  5750  3.50 -0.50  2.00  0.00  0.00 -16.431 -16.410 -17.013 -17.161 -17.052   1.533   1.531   0.391   0.186   0.375   0.374
  108  5750  4.00 -0.50  2.00  0.00  0.00 -16.474 -16.453 -16.995 -17.155 -17.048   1.484   1.483   0.393   0.197   0.303   0.301
