        Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    81  5250  1.50  0.00  0.00  1.25  0.00 -15.247 -15.227 -16.197 -16.592 -16.602   2.148   2.146   0.510   0.315   0.497   0.495
    82  5250  2.00  0.00  0.00  1.25  0.00 -15.346 -15.326 -16.208 -16.590 -16.595   2.046   2.044   0.504   0.307   0.422   0.421
    83  5250  2.50  0.00  0.00  1.25  0.00 -15.425 -15.404 -16.214 -16.589 -16.588   1.966   1.965   0.499   0.305   0.357   0.355
    84  5250  3.00  0.00  0.00  1.25  0.00 -15.482 -15.461 -16.216 -16.590 -16.583   1.910   1.909   0.493   0.311   0.301   0.300
    85  5250  3.50  0.00  0.00  1.25  0.00 -15.518 -15.496 -16.214 -16.595 -16.580   1.879   1.879   0.485   0.325   0.257   0.256
    86  5250  4.00  0.00  0.00  1.25  0.00 -15.528 -15.506 -16.207 -16.602 -16.579   1.876   1.876   0.477   0.346   0.227   0.227
    87  5250  4.50  0.00  0.00  1.25  0.00 -15.514 -15.492 -16.197 -16.611 -16.580   1.899   1.899   0.469   0.374   0.212   0.212
    88  5250  5.00  0.00  0.00  1.25  0.00 -15.476 -15.454 -16.183 -16.620 -16.582   1.946   1.947   0.461   0.405   0.212   0.212
    89  5500  0.00  0.00  0.00  1.25  0.00 -15.274 -15.255 -16.608 -16.938 -16.899   2.466   2.463   0.461   0.299   0.945   0.942
    90  5500  0.50  0.00  0.00  1.25  0.00 -15.422 -15.403 -16.625 -16.934 -16.888   2.314   2.311   0.454   0.284   0.836   0.833
    91  5500  1.00  0.00  0.00  1.25  0.00 -15.561 -15.541 -16.637 -16.928 -16.877   2.169   2.166   0.449   0.271   0.726   0.724
    92  5500  1.50  0.00  0.00  1.25  0.00 -15.683 -15.663 -16.642 -16.921 -16.867   2.039   2.037   0.447   0.261   0.622   0.620
    93  5500  2.00  0.00  0.00  1.25  0.00 -15.788 -15.768 -16.642 -16.912 -16.857   1.927   1.925   0.445   0.254   0.527   0.525
    94  5500  2.50  0.00  0.00  1.25  0.00 -15.872 -15.852 -16.638 -16.904 -16.849   1.834   1.832   0.444   0.251   0.442   0.440
    95  5500  3.00  0.00  0.00  1.25  0.00 -15.938 -15.917 -16.632 -16.899 -16.842   1.764   1.762   0.443   0.254   0.368   0.367
    96  5500  3.50  0.00  0.00  1.25  0.00 -15.983 -15.962 -16.622 -16.897 -16.837   1.716   1.715   0.440   0.264   0.306   0.305
    97  5500  4.00  0.00  0.00  1.25  0.00 -16.005 -15.984 -16.610 -16.899 -16.836   1.696   1.695   0.437   0.282   0.257   0.256
    98  5500  4.50  0.00  0.00  1.25  0.00 -16.005 -15.984 -16.595 -16.905 -16.836   1.701   1.701   0.432   0.307   0.222   0.222
    99  5500  5.00  0.00  0.00  1.25  0.00 -15.982 -15.960 -16.578 -16.913 -16.839   1.733   1.733   0.426   0.338   0.203   0.203
   100  5750  0.00  0.00  0.00  1.25  0.00 -15.653 -15.633 -17.054 -17.264 -17.151   2.414   2.411   0.387   0.253   1.133   1.130
   101  5750  0.50  0.00  0.00  1.25  0.00 -15.785 -15.766 -17.051 -17.250 -17.137   2.267   2.264   0.387   0.241   1.009   1.006
   102  5750  1.00  0.00  0.00  1.25  0.00 -15.919 -15.899 -17.048 -17.236 -17.123   2.119   2.117   0.387   0.230   0.883   0.880
   103  5750  1.50  0.00  0.00  1.25  0.00 -16.043 -16.023 -17.041 -17.222 -17.111   1.981   1.979   0.389   0.221   0.760   0.758
   104  5750  2.00  0.00  0.00  1.25  0.00 -16.153 -16.133 -17.031 -17.207 -17.099   1.857   1.855   0.391   0.214   0.644   0.642
   105  5750  2.50  0.00  0.00  1.25  0.00 -16.246 -16.226 -17.018 -17.194 -17.088   1.750   1.749   0.394   0.211   0.539   0.537
   106  5750  3.00  0.00  0.00  1.25  0.00 -16.322 -16.301 -17.004 -17.183 -17.079   1.663   1.662   0.395   0.213   0.445   0.444
   107  5750  3.50  0.00  0.00  1.25  0.00 -16.379 -16.358 -16.988 -17.175 -17.072   1.598   1.597   0.397   0.219   0.364   0.363
   108  5750  4.00  0.00  0.00  1.25  0.00 -16.416 -16.395 -16.971 -17.172 -17.068   1.557   1.556   0.396   0.233   0.297   0.296
   109  5750  4.50  0.00  0.00  1.25  0.00 -16.433 -16.411 -16.954 -17.172 -17.067   1.542   1.541   0.395   0.253   0.245   0.244
   110  5750  5.00  0.00  0.00  1.25  0.00 -16.426 -16.404 -16.935 -17.178 -17.070   1.554   1.553   0.392   0.280   0.208   0.208
   111  6000  0.00  0.00  0.00  1.25  0.00 -15.972 -15.952 -17.463 -17.564 -17.379   2.394   2.392   0.315   0.214   1.332   1.330
   112  6000  0.50  0.00  0.00  1.25  0.00 -16.087 -16.067 -17.435 -17.541 -17.366   2.257   2.255   0.325   0.211   1.184   1.182
   113  6000  1.00  0.00  0.00  1.25  0.00 -16.213 -16.193 -17.418 -17.521 -17.352   2.110   2.108   0.331   0.201   1.045   1.043
   114  6000  1.50  0.00  0.00  1.25  0.00 -16.337 -16.317 -17.401 -17.501 -17.337   1.966   1.964   0.336   0.192   0.907   0.905
   115  6000  2.00  0.00  0.00  1.25  0.00 -16.452 -16.432 -17.382 -17.481 -17.323   1.830   1.829   0.342   0.185   0.774   0.772
   116  6000  2.50  0.00  0.00  1.25  0.00 -16.555 -16.534 -17.361 -17.462 -17.309   1.709   1.708   0.348   0.182   0.648   0.646
   117  6000  3.00  0.00  0.00  1.25  0.00 -16.642 -16.621 -17.339 -17.445 -17.298   1.605   1.604   0.353   0.182   0.534   0.532
   118  6000  3.50  0.00  0.00  1.25  0.00 -16.712 -16.691 -17.317 -17.432 -17.288   1.522   1.521   0.356   0.187   0.433   0.431
   119  6000  4.00  0.00  0.00  1.25  0.00 -16.764 -16.744 -17.296 -17.423 -17.281   1.460   1.459   0.359   0.197   0.346   0.345
   120  6000  4.50  0.00  0.00  1.25  0.00 -16.797 -16.776 -17.275 -17.418 -17.279   1.423   1.422   0.360   0.212   0.276   0.275
   121  6000  5.00  0.00  0.00  1.25  0.00 -16.809 -16.787 -17.254 -17.420 -17.279   1.413   1.412   0.360   0.234   0.223   0.222
   122  6250  0.50  0.00  0.00  1.25  0.00 -16.345 -16.325 -17.795 -17.813 -17.576   2.269   2.268   0.263   0.183   1.375   1.374
   123  6250  1.00  0.00  0.00  1.25  0.00 -16.461 -16.440 -17.758 -17.787 -17.564   2.128   2.126   0.277   0.181   1.210   1.208
   124  6250  1.50  0.00  0.00  1.25  0.00 -16.582 -16.561 -17.730 -17.761 -17.549   1.982   1.980   0.287   0.174   1.059   1.057
   125  6250  2.00  0.00  0.00  1.25  0.00 -16.700 -16.679 -17.702 -17.736 -17.533   1.839   1.838   0.296   0.167   0.911   0.909
   126  6250  2.50  0.00  0.00  1.25  0.00 -16.809 -16.789 -17.674 -17.712 -17.517   1.705   1.703   0.305   0.163   0.768   0.767
