
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  123  6250  1.00  0.00  0.00  0.00  0.00 -16.469 -16.448 -17.749 -17.784 -17.563   2.117   2.116   0.278   0.186   1.187   1.186
  124  6250  1.50  0.00  0.00  0.00  0.00 -16.583 -16.563 -17.721 -17.761 -17.549   1.980   1.978   0.288   0.180   1.040   1.039
  125  6250  2.00  0.00  0.00  0.00  0.00 -16.696 -16.675 -17.694 -17.738 -17.535   1.844   1.843   0.297   0.176   0.897   0.896
  126  6250  2.50  0.00  0.00  0.00  0.00 -16.801 -16.780 -17.667 -17.716 -17.521   1.717   1.716   0.305   0.172   0.760   0.759
  127  6250  3.00  0.00  0.00  0.00  0.00 -16.894 -16.873 -17.640 -17.695 -17.508   1.603   1.602   0.313   0.172   0.632   0.631
  128  6250  3.50  0.00  0.00  0.00  0.00 -16.974 -16.953 -17.612 -17.678 -17.496   1.506   1.505   0.319   0.176   0.515   0.514
  129  6250  4.00  0.00  0.00  0.00  0.00 -17.037 -17.016 -17.586 -17.664 -17.487   1.429   1.428   0.323   0.183   0.414   0.413
  130  6250  4.50  0.00  0.00  0.00  0.00 -17.082 -17.061 -17.562 -17.655 -17.482   1.375   1.374   0.327   0.195   0.329   0.328
  131  6250  5.00  0.00  0.00  0.00  0.00 -17.107 -17.086 -17.539 -17.651 -17.480   1.346   1.345   0.329   0.212   0.262   0.261
  132  6500  0.50  0.00  0.00  0.00  0.00 -16.595 -16.574 -18.119 -18.059 -17.764   2.267   2.266   0.205   0.164   1.526   1.525
  133  6500  1.00  0.00  0.00  0.00  0.00 -16.689 -16.668 -18.072 -18.034 -17.757   2.146   2.145   0.224   0.167   1.363   1.362
  134  6500  1.50  0.00  0.00  0.00  0.00 -16.799 -16.778 -18.026 -18.007 -17.748   2.010   2.009   0.241   0.169   1.188   1.187
  135  6500  2.00  0.00  0.00  0.00  0.00 -16.911 -16.890 -17.990 -17.980 -17.733   1.871   1.870   0.253   0.166   1.031   1.030
  136  6500  2.50  0.00  0.00  0.00  0.00 -17.020 -16.999 -17.955 -17.953 -17.718   1.735   1.734   0.265   0.162   0.879   0.878
  137  6500  3.00  0.00  0.00  0.00  0.00 -17.122 -17.101 -17.921 -17.927 -17.702   1.607   1.606   0.275   0.161   0.734   0.733
