 3.84983009E+02   3653.1 1.217E+03 7.964E+10 3.577E-03 1.358E-03 4.000E+05 0.000E+00 0.000E+00
 4.19094005E+02   3758.8 1.325E+03 1.061E+11 4.712E-03 1.679E-03 4.000E+05 0.000E+00 0.000E+00
 4.53822650E+02   3878.2 1.435E+03 1.401E+11 6.121E-03 2.054E-03 4.000E+05 2.517E-11 1.633E+02
 4.89893188E+02   4012.9 1.549E+03 1.816E+11 7.747E-03 2.464E-03 4.000E+05 3.865E-10 4.016E+02
 5.28719862E+02   4165.3 1.671E+03 2.286E+11 9.409E-03 2.857E-03 4.000E+05 1.632E-09 6.417E+02
 5.72566694E+02   4336.6 1.810E+03 2.784E+11 1.079E-02 3.150E-03 4.000E+05 2.771E-09 7.579E+02
 6.24946916E+02   4530.8 1.975E+03 3.296E+11 1.180E-02 3.348E-03 4.000E+05 2.421E-09 7.175E+02
 6.89390989E+02   4750.7 2.179E+03 3.911E+11 1.275E-02 3.562E-03 4.000E+05 2.561E-09 7.212E+02
 7.66035945E+02   5000.8 2.421E+03 5.155E+11 1.512E-02 4.187E-03 4.000E+05 1.771E-08 1.348E+03
 8.43913425E+02   5283.8 2.667E+03 8.478E+11 2.219E-02 6.151E-03 4.000E+05 7.376E-07 4.586E+03
 9.07740161E+02   5605.0 2.868E+03 1.703E+12 3.932E-02 1.092E-02 4.000E+05 4.446E-05 1.769E+04
 9.52952837E+02   5964.0 3.011E+03 3.759E+12 7.726E-02 2.153E-02 4.000E+05 1.556E-03 5.679E+04
 9.82610004E+02   6362.0 3.103E+03 8.496E+12 1.604E-01 4.336E-02 4.000E+05 7.630E-03 9.261E+04
 1.00163639E+03   6769.0 3.162E+03 1.797E+13 3.290E-01 7.436E-02 4.000E+05 1.333E-01 2.253E+05
 1.01485769E+03   7106.3 3.203E+03 3.145E+13 5.867E-01 8.736E-02 4.000E+05 4.935E-01 3.440E+05
 1.02569921E+03   7343.9 3.237E+03 4.529E+13 8.779E-01 7.820E-02 4.000E+05 6.952E-01 3.695E+05
 1.03599495E+03   7518.2 3.268E+03 5.834E+13 1.175E+00 6.751E-02 4.000E+05 7.945E-01 3.693E+05
 1.04648378E+03   7669.8 3.301E+03 7.207E+13 1.512E+00 6.220E-02 4.000E+05 8.594E-01 3.753E+05
 1.05745150E+03   7810.6 3.335E+03 8.704E+13 1.908E+00 5.543E-02 4.000E+05 8.951E-01 3.659E+05
 1.06927625E+03   7930.8 3.372E+03 1.018E+14 2.322E+00 5.449E-02 4.000E+05 9.173E-01 3.656E+05
PRADK 1.9903E-01
BEGIN                    ITERATION  15 COMPLETED
TEFF   3500.  GRAVITY 1.00000 LTE 
TITLE  [0.0] VTURB=4.0  L/H=1.25 NOVER                                          
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
