
       Teff log g  [M]  Vturb  l/H   small     big    beta
  271 10500  3.50  0.00  4.00  0.00 -19.515 -19.719   2.787
  272 10500  4.00  0.00  4.00  0.00 -19.441 -19.693   2.852
  273 10500  4.50  0.00  4.00  0.00 -19.364 -19.661   2.912
  274 10500  5.00  0.00  4.00  0.00 -19.293 -19.623   2.959
  275 10750  2.00  0.00  4.00  0.00 -19.722 -19.792   2.606
  276 10750  2.50  0.00  4.00  0.00 -19.696 -19.804   2.657
  277 10750  3.00  0.00  4.00  0.00 -19.648 -19.797   2.713
  278 10750  3.50  0.00  4.00  0.00 -19.585 -19.779   2.773
  279 10750  4.00  0.00  4.00  0.00 -19.513 -19.753   2.837
  280 10750  4.50  0.00  4.00  0.00 -19.436 -19.722   2.898
  281 10750  5.00  0.00  4.00  0.00 -19.361 -19.685   2.950
  282 11000  2.00  0.00  4.00  0.00 -19.780 -19.845   2.599
  283 11000  2.50  0.00  4.00  0.00 -19.756 -19.858   2.649
  284 11000  3.00  0.00  4.00  0.00 -19.711 -19.852   2.702
  285 11000  3.50  0.00  4.00  0.00 -19.651 -19.835   2.760
  286 11000  4.00  0.00  4.00  0.00 -19.581 -19.810   2.822
  287 11000  4.50  0.00  4.00  0.00 -19.504 -19.780   2.884
  288 11000  5.00  0.00  4.00  0.00 -19.428 -19.743   2.938
  289 11250  2.00  0.00  4.00  0.00 -19.834 -19.895   2.592
  290 11250  2.50  0.00  4.00  0.00 -19.814 -19.910   2.641
  291 11250  3.00  0.00  4.00  0.00 -19.771 -19.905   2.692
  292 11250  3.50  0.00  4.00  0.00 -19.714 -19.889   2.748
  293 11250  4.00  0.00  4.00  0.00 -19.646 -19.865   2.808
  294 11250  4.50  0.00  4.00  0.00 -19.571 -19.835   2.870
  295 11250  5.00  0.00  4.00  0.00 -19.493 -19.800   2.926
  296 11500  2.50  0.00  4.00  0.00 -19.868 -19.960   2.634
  297 11500  3.00  0.00  4.00  0.00 -19.828 -19.955   2.683
  298 11500  3.50  0.00  4.00  0.00 -19.773 -19.940   2.737
  299 11500  4.00  0.00  4.00  0.00 -19.707 -19.917   2.795
  300 11500  4.50  0.00  4.00  0.00 -19.634 -19.888   2.855
  301 11500  5.00  0.00  4.00  0.00 -19.557 -19.853   2.913
  302 11750  2.50  0.00  4.00  0.00 -19.920 -20.007   2.627
  303 11750  3.00  0.00  4.00  0.00 -19.882 -20.003   2.675
  304 11750  3.50  0.00  4.00  0.00 -19.829 -19.989   2.727
  305 11750  4.00  0.00  4.00  0.00 -19.766 -19.967   2.783
  306 11750  4.50  0.00  4.00  0.00 -19.694 -19.939   2.842
  307 11750  5.00  0.00  4.00  0.00 -19.618 -19.905   2.900
  308 12000  2.50  0.00  4.00  0.00 -19.970 -20.052   2.622
  309 12000  3.00  0.00  4.00  0.00 -19.933 -20.049   2.668
  310 12000  3.50  0.00  4.00  0.00 -19.883 -20.036   2.718
  311 12000  4.00  0.00  4.00  0.00 -19.822 -20.015   2.772
  312 12000  4.50  0.00  4.00  0.00 -19.752 -19.987   2.830
  313 12000  5.00  0.00  4.00  0.00 -19.677 -19.955   2.887
  314 12250  2.50  0.00  4.00  0.00 -20.017 -20.096   2.617
  315 12250  3.00  0.00  4.00  0.00 -19.982 -20.094   2.661
  316 12250  3.50  0.00  4.00  0.00 -19.934 -20.081   2.710
  317 12250  4.00  0.00  4.00  0.00 -19.875 -20.061   2.762
  318 12250  4.50  0.00  4.00  0.00 -19.808 -20.035   2.818
  319 12250  5.00  0.00  4.00  0.00 -19.734 -20.003   2.875
  320 12500  2.50  0.00  4.00  0.00 -20.063 -20.138   2.612
  321 12500  3.00  0.00  4.00  0.00 -20.029 -20.136   2.655
  322 12500  3.50  0.00  4.00  0.00 -19.982 -20.124   2.702
  323 12500  4.00  0.00  4.00  0.00 -19.926 -20.105   2.753
  324 12500  4.50  0.00  4.00  0.00 -19.860 -20.079   2.808
  325 12500  5.00  0.00  4.00  0.00 -19.788 -20.048   2.863
  326 12750  2.50  0.00  4.00  0.00 -20.107 -20.179   2.607
  327 12750  3.00  0.00  4.00  0.00 -20.074 -20.177   2.650
  328 12750  3.50  0.00  4.00  0.00 -20.029 -20.166   2.695
  329 12750  4.00  0.00  4.00  0.00 -19.974 -20.147   2.745
  330 12750  4.50  0.00  4.00  0.00 -19.911 -20.123   2.798
  331 12750  5.00  0.00  4.00  0.00 -19.841 -20.093   2.852
  332 13000  2.50  0.00  4.00  0.00 -20.149 -20.218   2.603
  333 13000  3.00  0.00  4.00  0.00 -20.117 -20.216   2.645
  334 13000  3.50  0.00  4.00  0.00 -20.073 -20.205   2.689
  335 13000  4.00  0.00  4.00  0.00 -20.020 -20.187   2.737
  336 13000  4.50  0.00  4.00  0.00 -19.959 -20.164   2.789
  337 13000  5.00  0.00  4.00  0.00 -19.891 -20.135   2.842
  338 14000  2.50  0.00  4.00  0.00 -20.309 -20.367   2.589
  339 14000  3.00  0.00  4.00  0.00 -20.277 -20.364   2.628
  340 14000  3.50  0.00  4.00  0.00 -20.236 -20.353   2.668
  341 14000  4.00  0.00  4.00  0.00 -20.188 -20.337   2.711
  342 14000  4.50  0.00  4.00  0.00 -20.134 -20.316   2.758
  343 14000  5.00  0.00  4.00  0.00 -20.073 -20.291   2.806
  344 15000  2.50  0.00  4.00  0.00 -20.457 -20.506   2.577
  345 15000  3.00  0.00  4.00  0.00 -20.422 -20.499   2.614
  346 15000  3.50  0.00  4.00  0.00 -20.381 -20.485   2.652
  347 15000  4.00  0.00  4.00  0.00 -20.336 -20.469   2.692
  348 15000  4.50  0.00  4.00  0.00 -20.286 -20.451   2.734
  349 15000  5.00  0.00  4.00  0.00 -20.231 -20.428   2.778
  350 16000  2.50  0.00  4.00  0.00 -20.597 -20.638   2.566
  351 16000  3.00  0.00  4.00  0.00 -20.558 -20.626   2.602
  352 16000  3.50  0.00  4.00  0.00 -20.514 -20.608   2.639
  353 16000  4.00  0.00  4.00  0.00 -20.469 -20.591   2.676
  354 16000  4.50  0.00  4.00  0.00 -20.421 -20.572   2.715
  355 16000  5.00  0.00  4.00  0.00 -20.371 -20.552   2.756
  356 17000  2.50  0.00  4.00  0.00 -20.731 -20.765   2.555
  357 17000  3.00  0.00  4.00  0.00 -20.686 -20.747   2.592
  358 17000  3.50  0.00  4.00  0.00 -20.639 -20.725   2.627
  359 17000  4.00  0.00  4.00  0.00 -20.592 -20.704   2.663
  360 17000  4.50  0.00  4.00  0.00 -20.545 -20.685   2.700
  361 17000  5.00  0.00  4.00  0.00 -20.497 -20.664   2.738
  362 18000  2.50  0.00  4.00  0.00 -20.860 -20.886   2.545
  363 18000  3.00  0.00  4.00  0.00 -20.810 -20.863   2.582
  364 18000  3.50  0.00  4.00  0.00 -20.758 -20.836   2.616
  365 18000  4.00  0.00  4.00  0.00 -20.709 -20.812   2.651
  366 18000  4.50  0.00  4.00  0.00 -20.661 -20.790   2.686
  367 18000  5.00  0.00  4.00  0.00 -20.613 -20.770   2.723
  368 19000  3.00  0.00  4.00  0.00 -20.930 -20.977   2.573
  369 19000  3.50  0.00  4.00  0.00 -20.873 -20.944   2.607
  370 19000  4.00  0.00  4.00  0.00 -20.820 -20.916   2.640
  371 19000  4.50  0.00  4.00  0.00 -20.771 -20.891   2.674
  372 19000  5.00  0.00  4.00  0.00 -20.723 -20.869   2.709
  373 20000  3.00  0.00  4.00  0.00 -21.046 -21.086   2.565
  374 20000  3.50  0.00  4.00  0.00 -20.984 -21.049   2.598
  375 20000  4.00  0.00  4.00  0.00 -20.927 -21.016   2.630
  376 20000  4.50  0.00  4.00  0.00 -20.876 -20.989   2.663
  377 20000  5.00  0.00  4.00  0.00 -20.827 -20.965   2.697
  378 21000  3.00  0.00  4.00  0.00 -21.157 -21.191   2.556
  379 21000  3.50  0.00  4.00  0.00 -21.092 -21.151   2.590
  380 21000  4.00  0.00  4.00  0.00 -21.032 -21.114   2.622
  381 21000  4.50  0.00  4.00  0.00 -20.978 -21.083   2.654
  382 21000  5.00  0.00  4.00  0.00 -20.927 -21.057   2.687
  383 22000  3.00  0.00  4.00  0.00 -21.261 -21.289   2.548
  384 22000  3.50  0.00  4.00  0.00 -21.197 -21.249   2.582
  385 22000  4.00  0.00  4.00  0.00 -21.133 -21.209   2.613
