
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
  112  6000  0.50  0.00  4.00  0.00  0.00 -16.430 -17.358 -17.370 -24.417  -0.073   0.541   0.615   0.599
  113  6000  1.00  0.00  4.00  0.00  0.00 -16.462 -17.347 -17.359 -24.417  -0.085   0.497   0.616   0.600
  114  6000  1.50  0.00  4.00  0.00  0.00 -16.502 -17.337 -17.348 -24.417  -0.096   0.446   0.614   0.598
  115  6000  2.00  0.00  4.00  0.00  0.00 -16.543 -17.327 -17.337 -24.417  -0.107   0.394   0.613   0.597
  116  6000  2.50  0.00  4.00  0.00  0.00 -16.582 -17.315 -17.326 -24.417  -0.117   0.343   0.614   0.598
  117  6000  3.00  0.00  4.00  0.00  0.00 -16.617 -17.303 -17.316 -24.417  -0.127   0.295   0.617   0.601
  118  6000  3.50  0.00  4.00  0.00  0.00 -16.645 -17.290 -17.307 -24.417  -0.136   0.255   0.621   0.605
  119  6000  4.00  0.00  4.00  0.00  0.00 -16.666 -17.277 -17.300 -24.417  -0.144   0.221   0.626   0.610
  120  6000  4.50  0.00  4.00  0.00  0.00 -16.677 -17.265 -17.294 -24.417  -0.149   0.198   0.633   0.617
  121  6000  5.00  0.00  4.00  0.00  0.00 -16.676 -17.254 -17.291 -24.417  -0.153   0.189   0.640   0.624
  122  6250  0.50  0.00  4.00  0.00  0.00 -16.841 -17.695 -17.582 -24.595  -0.038   0.460   0.491   0.475
  123  6250  1.00  0.00  4.00  0.00  0.00 -16.843 -17.668 -17.574 -24.595  -0.047   0.432   0.510   0.494
  124  6250  1.50  0.00  4.00  0.00  0.00 -16.866 -17.649 -17.563 -24.595  -0.058   0.390   0.517   0.501
  125  6250  2.00  0.00  4.00  0.00  0.00 -16.896 -17.632 -17.550 -24.595  -0.071   0.342   0.522   0.506
  126  6250  2.50  0.00  4.00  0.00  0.00 -16.929 -17.614 -17.538 -24.595  -0.083   0.291   0.527   0.511
  127  6250  3.00  0.00  4.00  0.00  0.00 -16.960 -17.595 -17.525 -24.595  -0.095   0.241   0.533   0.517
  128  6250  3.50  0.00  4.00  0.00  0.00 -16.989 -17.577 -17.514 -24.595  -0.107   0.194   0.541   0.525
  129  6250  4.00  0.00  4.00  0.00  0.00 -17.013 -17.558 -17.504 -24.595  -0.117   0.151   0.549   0.533
  130  6250  4.50  0.00  4.00  0.00  0.00 -17.030 -17.541 -17.496 -24.595  -0.125   0.118   0.558   0.542
  131  6250  5.00  0.00  4.00  0.00  0.00 -17.038 -17.526 -17.490 -24.595  -0.131   0.095   0.568   0.552
  132  6500  0.50  0.00  4.00  0.00  0.00 -17.210 -17.999 -17.776 -24.765  -0.015   0.390   0.380   0.364
  133  6500  1.00  0.00  4.00  0.00  0.00 -17.189 -17.970 -17.768 -24.765  -0.023   0.383   0.402   0.386
  134  6500  1.50  0.00  4.00  0.00  0.00 -17.188 -17.938 -17.761 -24.765  -0.031   0.353   0.426   0.410
  135  6500  2.00  0.00  4.00  0.00  0.00 -17.204 -17.913 -17.748 -24.765  -0.043   0.311   0.439   0.423
  136  6500  2.50  0.00  4.00  0.00  0.00 -17.228 -17.889 -17.735 -24.765  -0.056   0.263   0.450   0.434
  137  6500  3.00  0.00  4.00  0.00  0.00 -17.255 -17.865 -17.721 -24.765  -0.071   0.212   0.459   0.443
  138  6500  3.50  0.00  4.00  0.00  0.00 -17.283 -17.840 -17.706 -24.765  -0.085   0.160   0.470   0.454
  139  6500  4.00  0.00  4.00  0.00  0.00 -17.309 -17.816 -17.693 -24.765  -0.098   0.110   0.480   0.464
  140  6500  4.50  0.00  4.00  0.00  0.00 -17.332 -17.794 -17.682 -24.765  -0.109   0.065   0.491   0.475
  141  6500  5.00  0.00  4.00  0.00  0.00 -17.349 -17.774 -17.673 -24.765  -0.118   0.029   0.502   0.486
  142  6750  0.50  0.00  4.00  0.00  0.00 -17.544 -18.270 -17.956 -24.929   0.001   0.323   0.289   0.273
  143  6750  1.00  0.00  4.00  0.00  0.00 -17.509 -18.248 -17.948 -24.929  -0.007   0.336   0.304   0.288
  144  6750  1.50  0.00  4.00  0.00  0.00 -17.488 -18.214 -17.942 -24.929  -0.013   0.325   0.331   0.315
  145  6750  2.00  0.00  4.00  0.00  0.00 -17.484 -18.176 -17.934 -24.929  -0.021   0.292   0.361   0.345
  146  6750  2.50  0.00  4.00  0.00  0.00 -17.495 -18.145 -17.920 -24.929  -0.035   0.249   0.379   0.363
  147  6750  3.00  0.00  4.00  0.00  0.00 -17.515 -18.115 -17.905 -24.929  -0.050   0.199   0.394   0.378
  148  6750  3.50  0.00  4.00  0.00  0.00 -17.540 -18.085 -17.888 -24.929  -0.067   0.145   0.407   0.391
  149  6750  4.00  0.00  4.00  0.00  0.00 -17.567 -18.056 -17.872 -24.929  -0.083   0.089   0.420   0.404
