
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
  119  6000  4.00  0.00  2.00  1.25  0.00   1.593   1.592   0.367   0.232   0.395   0.394   2.620
  120  6000  4.50  0.00  2.00  1.25  0.00   1.550   1.549   0.368   0.243   0.327   0.326   2.613
  121  6000  5.00  0.00  2.00  1.25  0.00   1.531   1.530   0.367   0.261   0.272   0.272   2.607
  122  6250  0.50  0.00  2.00  1.25  0.00   2.334   2.333   0.272   0.236   1.317   1.316   2.671
  123  6250  1.00  0.00  2.00  1.25  0.00   2.209   2.208   0.286   0.233   1.168   1.167   2.671
  124  6250  1.50  0.00  2.00  1.25  0.00   2.077   2.076   0.296   0.224   1.035   1.034   2.670
  125  6250  2.00  0.00  2.00  1.25  0.00   1.944   1.943   0.304   0.215   0.905   0.903   2.667
  126  6250  2.50  0.00  2.00  1.25  0.00   1.817   1.816   0.312   0.207   0.778   0.776   2.662
  127  6250  3.00  0.00  2.00  1.25  0.00   1.701   1.700   0.319   0.202   0.657   0.655   2.656
  128  6250  3.50  0.00  2.00  1.25  0.00   1.600   1.599   0.325   0.202   0.544   0.543   2.650
  129  6250  4.00  0.00  2.00  1.25  0.00   1.516   1.515   0.330   0.205   0.444   0.442   2.643
  130  6250  4.50  0.00  2.00  1.25  0.00   1.453   1.452   0.333   0.214   0.357   0.356   2.636
  131  6250  5.00  0.00  2.00  1.25  0.00   1.413   1.413   0.335   0.228   0.286   0.285   2.629
  132  6500  0.50  0.00  2.00  1.25  0.00   2.331   2.330   0.210   0.207   1.496   1.495   2.690
  133  6500  1.00  0.00  2.00  1.25  0.00   2.220   2.219   0.227   0.206   1.350   1.349   2.695
  134  6500  1.50  0.00  2.00  1.25  0.00   2.089   2.088   0.245   0.206   1.184   1.183   2.695
  135  6500  2.00  0.00  2.00  1.25  0.00   1.954   1.953   0.258   0.199   1.037   1.036   2.694
  136  6500  2.50  0.00  2.00  1.25  0.00   1.820   1.819   0.269   0.193   0.894   0.893   2.690
  137  6500  3.00  0.00  2.00  1.25  0.00   1.692   1.691   0.279   0.188   0.756   0.755   2.685
  138  6500  3.50  0.00  2.00  1.25  0.00   1.574   1.573   0.288   0.186   0.625   0.624   2.678
  139  6500  4.00  0.00  2.00  1.25  0.00   1.472   1.471   0.295   0.187   0.505   0.505   2.670
  140  6500  4.50  0.00  2.00  1.25  0.00   1.389   1.388   0.301   0.193   0.399   0.399   2.662
