 8.09402293E+00   2543.9 2.565E+01 2.926E+07 5.343E-06 6.569E-05 4.000E+05 0.000E+00 0.000E+00
 9.97718337E+00   2563.5 3.160E+01 3.634E+07 5.855E-06 6.275E-05 4.000E+05 0.000E+00 0.000E+00
 1.22679347E+01   2582.2 3.884E+01 4.492E+07 6.421E-06 5.984E-05 4.000E+05 0.000E+00 0.000E+00
 1.50479016E+01   2601.4 4.763E+01 5.549E+07 7.069E-06 5.756E-05 4.000E+05 0.000E+00 0.000E+00
 1.84085993E+01   2621.3 5.826E+01 6.848E+07 7.811E-06 5.575E-05 4.000E+05 0.000E+00 0.000E+00
 2.24577990E+01   2641.2 7.106E+01 8.432E+07 8.657E-06 5.424E-05 4.000E+05 0.000E+00 0.000E+00
 2.73242951E+01   2660.7 8.645E+01 1.035E+08 9.614E-06 5.289E-05 4.000E+05 0.000E+00 0.000E+00
 3.31604767E+01   2680.1 1.049E+02 1.266E+08 1.070E-05 5.168E-05 4.000E+05 0.000E+00 0.000E+00
 4.01443032E+01   2698.9 1.270E+02 1.544E+08 1.194E-05 5.060E-05 4.000E+05 0.000E+00 0.000E+00
 4.84747854E+01   2718.2 1.533E+02 1.880E+08 1.338E-05 4.993E-05 4.000E+05 0.000E+00 0.000E+00
 5.83715378E+01   2737.9 1.846E+02 2.286E+08 1.504E-05 4.962E-05 4.000E+05 0.000E+00 0.000E+00
 7.00822428E+01   2757.9 2.217E+02 2.776E+08 1.698E-05 4.965E-05 4.000E+05 0.000E+00 0.000E+00
 8.38922738E+01   2777.7 2.653E+02 3.360E+08 1.923E-05 5.000E-05 4.000E+05 0.000E+00 0.000E+00
 1.00127073E+02   2797.7 3.167E+02 4.056E+08 2.185E-05 5.054E-05 4.000E+05 0.000E+00 0.000E+00
 1.19177993E+02   2816.9 3.769E+02 4.875E+08 2.484E-05 5.125E-05 4.000E+05 0.000E+00 0.000E+00
 1.41474253E+02   2836.5 4.474E+02 5.852E+08 2.835E-05 5.243E-05 4.000E+05 0.000E+00 0.000E+00
 1.67485036E+02   2856.4 5.297E+02 7.013E+08 3.246E-05 5.411E-05 4.000E+05 0.000E+00 0.000E+00
 1.97733146E+02   2876.8 6.253E+02 8.394E+08 3.728E-05 5.631E-05 4.000E+05 0.000E+00 0.000E+00
 2.32789694E+02   2897.8 7.362E+02 1.004E+09 4.298E-05 5.915E-05 4.000E+05 0.000E+00 0.000E+00
 2.73249951E+02   2919.6 8.642E+02 1.201E+09 4.976E-05 6.255E-05 4.000E+05 0.000E+00 0.000E+00
 3.19748435E+02   2942.6 1.011E+03 1.437E+09 5.788E-05 6.653E-05 4.000E+05 0.000E+00 0.000E+00
 3.72914242E+02   2967.0 1.179E+03 1.723E+09 6.768E-05 7.125E-05 4.000E+05 0.000E+00 0.000E+00
 4.33311611E+02   2993.8 1.370E+03 2.073E+09 7.978E-05 7.707E-05 4.000E+05 0.000E+00 0.000E+00
 5.01326645E+02   3023.5 1.585E+03 2.508E+09 9.492E-05 8.438E-05 4.000E+05 0.000E+00 0.000E+00
 5.77028437E+02   3057.4 1.825E+03 3.062E+09 1.145E-04 9.398E-05 4.000E+05 0.000E+00 0.000E+00
 6.60168268E+02   3095.6 2.088E+03 3.771E+09 1.399E-04 1.059E-04 4.000E+05 0.000E+00 0.000E+00
 7.50276043E+02   3139.0 2.373E+03 4.695E+09 1.734E-04 1.210E-04 4.000E+05 0.000E+00 0.000E+00
 8.46441557E+02   3188.5 2.677E+03 5.921E+09 2.184E-04 1.406E-04 4.000E+05 3.192E-10 2.081E+02
 9.47483638E+02   3244.6 2.996E+03 7.557E+09 2.792E-04 1.656E-04 4.000E+05 9.530E-08 1.392E+03
 1.05224203E+03   3307.8 3.328E+03 9.748E+09 3.611E-04 1.972E-04 4.000E+05 1.658E-07 1.689E+03
 1.15977485E+03   3378.9 3.668E+03 1.267E+10 4.707E-04 2.365E-04 4.000E+05 1.326E-07 1.595E+03
 1.26966029E+03   3458.3 4.015E+03 1.650E+10 6.141E-04 2.838E-04 4.000E+05 8.712E-08 1.417E+03
 1.38228307E+03   3546.8 4.371E+03 2.141E+10 7.957E-04 3.384E-04 4.000E+05 6.099E-08 1.288E+03
 1.49896046E+03   3645.1 4.740E+03 2.747E+10 1.016E-03 3.989E-04 4.000E+05 5.089E-08 1.239E+03
 1.62207346E+03   3754.4 5.130E+03 3.472E+10 1.270E-03 4.621E-04 4.000E+05 5.259E-08 1.275E+03
 1.75499431E+03   3876.6 5.550E+03 4.323E+10 1.552E-03 5.274E-04 4.000E+05 6.103E-08 1.356E+03
 1.90180314E+03   4012.6 6.014E+03 5.315E+10 1.855E-03 5.941E-04 4.000E+05 8.365E-08 1.513E+03
 2.06653461E+03   4165.6 6.535E+03 6.537E+10 2.194E-03 6.681E-04 4.000E+05 1.577E-07 1.866E+03
 2.24997029E+03   4336.7 7.115E+03 8.423E+10 2.688E-03 7.862E-04 4.000E+05 8.148E-07 3.207E+03
 2.43815048E+03   4531.0 7.710E+03 1.260E+11 3.760E-03 1.064E-03 4.000E+05 1.485E-05 8.385E+03
 2.60308649E+03   4748.3 8.231E+03 2.276E+11 6.198E-03 1.717E-03 4.000E+05 5.045E-04 2.706E+04
 2.72780389E+03   4997.3 8.625E+03 4.775E+11 1.152E-02 3.157E-03 4.000E+05 6.351E-03 6.306E+04
 2.81415983E+03   5278.8 8.898E+03 1.081E+12 2.267E-02 6.011E-03 4.000E+05 2.037E-02 9.283E+04
 2.87284491E+03   5575.0 9.083E+03 2.395E+12 4.384E-02 1.010E-02 4.000E+05 1.416E-01 1.774E+05
 2.91555524E+03   5841.0 9.218E+03 4.612E+12 7.598E-02 1.297E-02 4.000E+05 4.018E-01 2.564E+05
 2.95057118E+03   6059.8 9.328E+03 7.597E+12 1.165E-01 1.354E-02 4.000E+05 5.988E-01 2.929E+05
 2.98253383E+03   6239.9 9.429E+03 1.118E+13 1.635E-01 1.337E-02 4.000E+05 7.133E-01 3.068E+05
 3.01365772E+03   6401.0 9.527E+03 1.553E+13 2.194E-01 1.315E-02 4.000E+05 7.899E-01 3.145E+05
 3.04508910E+03   6549.5 9.626E+03 2.074E+13 2.858E-01 1.293E-02 4.000E+05 8.420E-01 3.183E+05
 3.07753323E+03   6691.6 9.728E+03 2.705E+13 3.663E-01 1.259E-02 4.000E+05 8.779E-01 3.170E+05
 3.11162592E+03   6825.2 9.835E+03 3.440E+13 4.611E-01 1.235E-02 4.000E+05 9.069E-01 3.183E+05
 3.14767385E+03   6962.0 9.949E+03 4.358E+13 5.813E-01 1.202E-02 4.000E+05 9.266E-01 3.132E+05
 3.18621845E+03   7086.9 1.007E+04 5.371E+13 7.166E-01 1.253E-02 4.000E+05 9.387E-01 3.104E+05
PRADK 1.9886E-01
BEGIN                    ITERATION  15 COMPLETED
TEFF   3500.  GRAVITY 1.00000 LTE 
TITLE  [-1.5A] N(He)/Ntot=0.089 VTURB=4.0  L/H=1.25 NOVER                       
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.03162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -2.71
 ABUNDANCE CHANGE  9  -7.48 10  -3.55 11  -5.71 12  -4.06 13  -5.57 14  -4.09
 ABUNDANCE CHANGE 15  -6.59 16  -4.43 17  -6.54 18  -5.08 19  -6.82 20  -5.28
 ABUNDANCE CHANGE 21  -8.94 22  -6.65 23  -8.04 24  -6.37 25  -6.65 26  -4.53
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 7.51780971E-02   2216.6 7.518E-01 7.475E+05 1.777E-06 3.100E-04 4.000E+05 0.000E+00 0.000E+00
 9.97908698E-02   2253.3 9.979E-01 9.748E+05 1.833E-06 3.298E-04 4.000E+05 0.000E+00 0.000E+00
 1.31180144E-01   2259.7 1.312E+00 1.289E+06 1.950E-06 2.951E-04 4.000E+05 0.000E+00 0.000E+00
 1.69992947E-01   2270.7 1.703E+00 1.694E+06 2.092E-06 2.611E-04 4.000E+05 0.000E+00 0.000E+00
 2.18326214E-01   2290.7 2.190E+00 2.198E+06 2.237E-06 2.411E-04 4.000E+05 0.000E+00 0.000E+00
 2.78725254E-01   2309.7 2.800E+00 2.813E+06 2.371E-06 2.230E-04 4.000E+05 0.000E+00 0.000E+00
 3.54350240E-01   2329.4 3.567E+00 3.581E+06 2.515E-06 2.068E-04 4.000E+05 0.000E+00 0.000E+00
 4.48408382E-01   2348.9 4.530E+00 4.549E+06 2.678E-06 1.906E-04 4.000E+05 0.000E+00 0.000E+00
 5.68454329E-01   2369.7 5.731E+00 5.784E+06 2.874E-06 1.759E-04 4.000E+05 0.000E+00 0.000E+00
 7.17226489E-01   2392.1 7.218E+00 7.347E+06 3.102E-06 1.637E-04 4.000E+05 0.000E+00 0.000E+00
 9.00897109E-01   2413.2 9.055E+00 9.277E+06 3.350E-06 1.516E-04 4.000E+05 0.000E+00 0.000E+00
 1.12778812E+00   2432.3 1.132E+01 1.164E+07 3.617E-06 1.392E-04 4.000E+05 0.000E+00 0.000E+00
 1.40783365E+00   2451.2 1.412E+01 1.457E+07 3.915E-06 1.285E-04 4.000E+05 0.000E+00 0.000E+00
 1.75203311E+00   2470.9 1.756E+01 1.821E+07 4.256E-06 1.199E-04 4.000E+05 0.000E+00 0.000E+00
 2.17333407E+00   2491.3 2.178E+01 2.273E+07 4.646E-06 1.132E-04 4.000E+05 0.000E+00 0.000E+00
 2.68686891E+00   2512.3 2.691E+01 2.833E+07 5.091E-06 1.079E-04 4.000E+05 0.000E+00 0.000E+00
 3.31219451E+00   2531.2 3.316E+01 3.508E+07 5.571E-06 1.018E-04 4.000E+05 0.000E+00 0.000E+00
