
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
  114  6000  1.50 -1.50  4.00  1.25  0.00 -16.925 -17.457 -17.277 -24.417  -0.166   0.128   0.424   0.408
  115  6000  2.00 -1.50  4.00  1.25  0.00 -16.954 -17.428 -17.257 -24.417  -0.186   0.071   0.433   0.417
  116  6000  2.50 -1.50  4.00  1.25  0.00 -16.983 -17.399 -17.237 -24.417  -0.206   0.013   0.442   0.426
  117  6000  3.00 -1.50  4.00  1.25  0.00 -17.011 -17.369 -17.218 -24.417  -0.226  -0.044   0.452   0.436
  118  6000  3.50 -1.50  4.00  1.25  0.00 -17.037 -17.342 -17.202 -24.417  -0.242  -0.097   0.463   0.447
  119  6000  4.00 -1.50  4.00  1.25  0.00 -17.059 -17.319 -17.190 -24.417  -0.253  -0.142   0.475   0.459
  120  6000  4.50 -1.50  4.00  1.25  0.00 -17.075 -17.301 -17.185 -24.417  -0.258  -0.175   0.488   0.472
  121  6000  5.00 -1.50  4.00  1.25  0.00 -17.080 -17.287 -17.186 -24.417  -0.258  -0.194   0.502   0.486
  122  6250  0.50 -1.50  4.00  1.25  0.00 -17.185 -17.805 -17.526 -24.595  -0.094   0.213   0.324   0.308
  123  6250  1.00 -1.50  4.00  1.25  0.00 -17.187 -17.772 -17.511 -24.595  -0.110   0.179   0.342   0.326
  124  6250  1.50 -1.50  4.00  1.25  0.00 -17.200 -17.740 -17.492 -24.595  -0.129   0.134   0.355   0.339
  125  6250  2.00 -1.50  4.00  1.25  0.00 -17.217 -17.705 -17.470 -24.595  -0.151   0.082   0.369   0.353
  126  6250  2.50 -1.50  4.00  1.25  0.00 -17.238 -17.668 -17.447 -24.595  -0.173   0.025   0.383   0.367
  127  6250  3.00 -1.50  4.00  1.25  0.00 -17.262 -17.632 -17.424 -24.595  -0.197  -0.034   0.396   0.380
  128  6250  3.50 -1.50  4.00  1.25  0.00 -17.287 -17.597 -17.403 -24.595  -0.218  -0.094   0.409   0.393
  129  6250  4.00 -1.50  4.00  1.25  0.00 -17.312 -17.568 -17.386 -24.595  -0.235  -0.149   0.422   0.406
