
       Teff log g  [M]a  Vturb l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  127  6250  3.00  0.00  2.00  0.00  0.00 -17.511 -17.245 -16.808   0.286   0.569   0.282
  128  6250  3.50  0.00  2.00  0.00  0.00 -17.497 -17.237 -16.806   0.291   0.580   0.288
  129  6250  4.00  0.00  2.00  0.00  0.00 -17.485 -17.231 -16.804   0.297   0.590   0.292
  130  6250  4.50  0.00  2.00  0.00  0.00 -17.476 -17.227 -16.803   0.302   0.598   0.295
  131  6250  5.00  0.00  2.00  0.00  0.00 -17.469 -17.225 -16.804   0.307   0.606   0.297
  132  6500  0.50  0.00  2.00  0.00  0.00 -17.776 -17.424 -16.919   0.199   0.414   0.214
  133  6500  1.00  0.00  2.00  0.00  0.00 -17.765 -17.425 -16.927   0.211   0.433   0.220
  134  6500  1.50  0.00  2.00  0.00  0.00 -17.754 -17.426 -16.933   0.223   0.450   0.226
  135  6500  2.00  0.00  2.00  0.00  0.00 -17.739 -17.421 -16.936   0.233   0.468   0.234
  136  6500  2.50  0.00  2.00  0.00  0.00 -17.723 -17.414 -16.937   0.242   0.485   0.242
  137  6500  3.00  0.00  2.00  0.00  0.00 -17.707 -17.405 -16.936   0.250   0.500   0.249
  138  6500  3.50  0.00  2.00  0.00  0.00 -17.691 -17.397 -16.934   0.257   0.515   0.256
  139  6500  4.00  0.00  2.00  0.00  0.00 -17.676 -17.389 -16.933   0.264   0.528   0.262
  140  6500  4.50  0.00  2.00  0.00  0.00 -17.664 -17.384 -16.932   0.271   0.539   0.267
  141  6500  5.00  0.00  2.00  0.00  0.00 -17.654 -17.380 -16.932   0.277   0.549   0.271
  142  6750  0.50  0.00  2.00  0.00  0.00 -17.955 -17.562 -17.024   0.158   0.340   0.181
  143  6750  1.00  0.00  2.00  0.00  0.00 -17.944 -17.562 -17.031   0.169   0.358   0.187
  144  6750  1.50  0.00  2.00  0.00  0.00 -17.935 -17.566 -17.040   0.182   0.376   0.193
  145  6750  2.00  0.00  2.00  0.00  0.00 -17.924 -17.567 -17.048   0.194   0.395   0.200
  146  6750  2.50  0.00  2.00  0.00  0.00 -17.908 -17.562 -17.052   0.205   0.415   0.208
  147  6750  3.00  0.00  2.00  0.00  0.00 -17.891 -17.555 -17.053   0.215   0.434   0.217
  148  6750  3.50  0.00  2.00  0.00  0.00 -17.873 -17.546 -17.053   0.225   0.451   0.226
  149  6750  4.00  0.00  2.00  0.00  0.00 -17.856 -17.538 -17.052   0.233   0.468   0.233
  150  6750  4.50  0.00  2.00  0.00  0.00 -17.840 -17.530 -17.051   0.241   0.482   0.240
  151  6750  5.00  0.00  2.00  0.00  0.00 -17.828 -17.525 -17.051   0.248   0.494   0.245
  152  7000  0.50  0.00  2.00  0.00  0.00 -18.120 -17.692 -17.125   0.123   0.276   0.152
  153  7000  1.00  0.00  2.00  0.00  0.00 -18.111 -17.693 -17.131   0.132   0.290   0.157
  154  7000  1.50  0.00  2.00  0.00  0.00 -18.102 -17.695 -17.138   0.143   0.307   0.162
  155  7000  2.00  0.00  2.00  0.00  0.00 -18.093 -17.699 -17.148   0.156   0.326   0.168
  156  7000  2.50  0.00  2.00  0.00  0.00 -18.081 -17.700 -17.157   0.170   0.347   0.176
  157  7000  3.00  0.00  2.00  0.00  0.00 -18.064 -17.695 -17.161   0.181   0.367   0.185
  158  7000  3.50  0.00  2.00  0.00  0.00 -18.045 -17.686 -17.163   0.193   0.389   0.195
  159  7000  4.00  0.00  2.00  0.00  0.00 -18.025 -17.677 -17.163   0.203   0.409   0.205
  160  7000  4.50  0.00  2.00  0.00  0.00 -18.007 -17.668 -17.162   0.212   0.426   0.213
  161  7000  5.00  0.00  2.00  0.00  0.00 -17.991 -17.660 -17.162   0.221   0.442   0.220
  162  7250  0.50  0.00  2.00  0.00  0.00 -18.273 -17.818 -17.225   0.096   0.223   0.126
  163  7250  1.00  0.00  2.00  0.00  0.00 -18.266 -17.815 -17.225   0.100   0.231   0.129
  164  7250  1.50  0.00  2.00  0.00  0.00 -18.259 -17.818 -17.232   0.110   0.244   0.133
  165  7250  2.00  0.00  2.00  0.00  0.00 -18.250 -17.820 -17.240   0.121   0.261   0.139
  166  7250  2.50  0.00  2.00  0.00  0.00 -18.240 -17.824 -17.251   0.135   0.282   0.146
  167  7250  3.00  0.00  2.00  0.00  0.00 -18.226 -17.824 -17.259   0.149   0.304   0.155
  168  7250  3.50  0.00  2.00  0.00  0.00 -18.207 -17.817 -17.264   0.161   0.328   0.165
