
       Teff log g  [M]a Vturb  l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  151  6750  5.00  0.20  2.00  1.25  0.00 -17.846 -17.547 -17.070   0.252   0.495   0.242
  152  7000  0.50  0.20  2.00  1.25  0.00 -18.130 -17.705 -17.136   0.127   0.277   0.149
  153  7000  1.00  0.20  2.00  1.25  0.00 -18.122 -17.707 -17.142   0.136   0.291   0.154
  154  7000  1.50  0.20  2.00  1.25  0.00 -18.114 -17.710 -17.150   0.147   0.307   0.159
  155  7000  2.00  0.20  2.00  1.25  0.00 -18.105 -17.714 -17.160   0.160   0.326   0.165
  156  7000  2.50  0.20  2.00  1.25  0.00 -18.094 -17.716 -17.170   0.173   0.347   0.173
  157  7000  3.00  0.20  2.00  1.25  0.00 -18.079 -17.713 -17.176   0.185   0.368   0.182
  158  7000  3.50  0.20  2.00  1.25  0.00 -18.061 -17.706 -17.179   0.196   0.389   0.192
  159  7000  4.00  0.20  2.00  1.25  0.00 -18.043 -17.698 -17.180   0.206   0.408   0.201
  160  7000  4.50  0.20  2.00  1.25  0.00 -18.026 -17.690 -17.180   0.215   0.426   0.209
  161  7000  5.00  0.20  2.00  1.25  0.00 -18.011 -17.683 -17.181   0.224   0.441   0.216
  162  7250  0.50  0.20  2.00  1.25  0.00 -18.282 -17.831 -17.235   0.099   0.224   0.124
  163  7250  1.00  0.20  2.00  1.25  0.00 -18.275 -17.828 -17.236   0.104   0.231   0.126
  164  7250  1.50  0.20  2.00  1.25  0.00 -18.269 -17.832 -17.243   0.113   0.245   0.130
  165  7250  2.00  0.20  2.00  1.25  0.00 -18.261 -17.834 -17.252   0.124   0.261   0.136
  166  7250  2.50  0.20  2.00  1.25  0.00 -18.252 -17.839 -17.263   0.138   0.282   0.143
  167  7250  3.00  0.20  2.00  1.25  0.00 -18.240 -17.841 -17.273   0.152   0.304   0.151
  168  7250  3.50  0.20  2.00  1.25  0.00 -18.223 -17.836 -17.279   0.164   0.327   0.162
  169  7250  4.00  0.20  2.00  1.25  0.00 -18.204 -17.828 -17.282   0.176   0.349   0.172
  170  7250  4.50  0.20  2.00  1.25  0.00 -18.184 -17.820 -17.283   0.186   0.370   0.182
