
       Teff log g  [M]a Vturb  l/H   small     big    beta
  162  7250  0.50 -2.00  2.00  1.25 -18.343 -18.472   2.686
  163  7250  1.00 -2.00  2.00  1.25 -18.294 -18.452   2.725
  164  7250  1.50 -2.00  2.00  1.25 -18.248 -18.425   2.750
  165  7250  2.00 -2.00  2.00  1.25 -18.206 -18.392   2.762
  166  7250  2.50 -2.00  2.00  1.25 -18.168 -18.355   2.764
  167  7250  3.00 -2.00  2.00  1.25 -18.127 -18.312   2.761
  168  7250  3.50 -2.00  2.00  1.25 -18.087 -18.267   2.754
  169  7250  4.00 -2.00  2.00  1.25 -18.050 -18.223   2.744
  170  7250  4.50 -2.00  2.00  1.25 -18.018 -18.182   2.733
  171  7250  5.00 -2.00  2.00  1.25 -17.993 -18.148   2.721
  172  7500  0.50 -2.00  2.00  1.25 -18.513 -18.620   2.655
  173  7500  1.00 -2.00  2.00  1.25 -18.460 -18.613   2.718
  174  7500  1.50 -2.00  2.00  1.25 -18.409 -18.590   2.756
  175  7500  2.00 -2.00  2.00  1.25 -18.359 -18.559   2.782
  176  7500  2.50 -2.00  2.00  1.25 -18.314 -18.523   2.794
  177  7500  3.00 -2.00  2.00  1.25 -18.273 -18.483   2.795
  178  7500  3.50 -2.00  2.00  1.25 -18.230 -18.437   2.791
  179  7500  4.00 -2.00  2.00  1.25 -18.190 -18.390   2.783
  180  7500  4.50 -2.00  2.00  1.25 -18.154 -18.346   2.771
  181  7500  5.00 -2.00  2.00  1.25 -18.123 -18.306   2.758
  182  7750  1.00 -2.00  2.00  1.25 -18.617 -18.753   2.695
  183  7750  1.50 -2.00  2.00  1.25 -18.562 -18.739   2.750
  184  7750  2.00 -2.00  2.00  1.25 -18.507 -18.712   2.789
  185  7750  2.50 -2.00  2.00  1.25 -18.454 -18.678   2.814
  186  7750  3.00 -2.00  2.00  1.25 -18.406 -18.638   2.825
  187  7750  3.50 -2.00  2.00  1.25 -18.364 -18.596   2.826
  188  7750  4.00 -2.00  2.00  1.25 -18.321 -18.549   2.820
  189  7750  4.50 -2.00  2.00  1.25 -18.281 -18.501   2.809
  190  7750  5.00 -2.00  2.00  1.25 -18.246 -18.457   2.796
  191  8000  1.00 -2.00  2.00  1.25 -18.756 -18.865   2.659
  192  8000  1.50 -2.00  2.00  1.25 -18.705 -18.868   2.732
  193  8000  2.00 -2.00  2.00  1.25 -18.647 -18.849   2.784
  194  8000  2.50 -2.00  2.00  1.25 -18.589 -18.819   2.822
  195  8000  3.00 -2.00  2.00  1.25 -18.533 -18.781   2.846
  196  8000  3.50 -2.00  2.00  1.25 -18.486 -18.740   2.855
  197  8000  4.00 -2.00  2.00  1.25 -18.443 -18.696   2.854
  198  8000  4.50 -2.00  2.00  1.25 -18.401 -18.648   2.846
  199  8000  5.00 -2.00  2.00  1.25 -18.362 -18.601   2.834
  200  8250  1.50 -2.00  2.00  1.25 -18.836 -18.978   2.704
  201  8250  2.00 -2.00  2.00  1.25 -18.778 -18.968   2.768
  202  8250  2.50 -2.00  2.00  1.25 -18.717 -18.944   2.818
  203  8250  3.00 -2.00  2.00  1.25 -18.656 -18.910   2.855
  204  8250  3.50 -2.00  2.00  1.25 -18.600 -18.870   2.876
  205  8250  4.00 -2.00  2.00  1.25 -18.555 -18.829   2.883
  206  8250  4.50 -2.00  2.00  1.25 -18.513 -18.785   2.880
  207  8250  5.00 -2.00  2.00  1.25 -18.472 -18.737   2.870
  208  8500  1.50 -2.00  2.00  1.25 -18.951 -19.072   2.673
  209  8500  2.00 -2.00  2.00  1.25 -18.900 -19.073   2.745
  210  8500  2.50 -2.00  2.00  1.25 -18.837 -19.055   2.806
  211  8500  3.00 -2.00  2.00  1.25 -18.773 -19.026   2.854
  212  8500  3.50 -2.00  2.00  1.25 -18.712 -18.989   2.886
  213  8500  4.00 -2.00  2.00  1.25 -18.658 -18.947   2.903
  214  8500  4.50 -2.00  2.00  1.25 -18.616 -18.909   2.908
  215  8500  5.00 -2.00  2.00  1.25 -18.575 -18.864   2.903
  216  8750  2.00 -2.00  2.00  1.25 -19.010 -19.164   2.719
  217  8750  2.50 -2.00  2.00  1.25 -18.950 -19.153   2.787
  218  8750  3.00 -2.00  2.00  1.25 -18.883 -19.129   2.844
  219  8750  3.50 -2.00  2.00  1.25 -18.818 -19.096   2.888
  220  8750  4.00 -2.00  2.00  1.25 -18.758 -19.056   2.915
  221  8750  4.50 -2.00  2.00  1.25 -18.709 -19.016   2.927
  222  8750  5.00 -2.00  2.00  1.25 -18.670 -18.979   2.930
  223  9000  2.00 -2.00  2.00  0.00 -19.108 -19.244   2.695
  224  9000  2.50 -2.00  2.00  0.00 -19.053 -19.240   2.764
  225  9000  3.00 -2.00  2.00  0.00 -18.988 -19.222   2.828
  226  9000  3.50 -2.00  2.00  0.00 -18.920 -19.193   2.882
  227  9000  4.00 -2.00  2.00  0.00 -18.855 -19.157   2.920
  228  9000  4.50 -2.00  2.00  0.00 -18.797 -19.114   2.940
  229  9000  5.00 -2.00  2.00  0.00 -18.747 -19.067   2.945
  230  9250  2.00 -2.00  2.00  0.00 -19.195 -19.316   2.675
  231  9250  2.50 -2.00  2.00  0.00 -19.147 -19.318   2.742
  232  9250  3.00 -2.00  2.00  0.00 -19.085 -19.305   2.809
  233  9250  3.50 -2.00  2.00  0.00 -19.016 -19.280   2.870
  234  9250  4.00 -2.00  2.00  0.00 -18.948 -19.247   2.917
  235  9250  4.50 -2.00  2.00  0.00 -18.886 -19.207   2.946
  236  9250  5.00 -2.00  2.00  0.00 -18.833 -19.163   2.958
  237  9500  2.00 -2.00  2.00  0.00 -19.273 -19.383   2.659
  238  9500  2.50 -2.00  2.00  0.00 -19.232 -19.388   2.723
  239  9500  3.00 -2.00  2.00  0.00 -19.173 -19.379   2.789
  240  9500  3.50 -2.00  2.00  0.00 -19.105 -19.358   2.854
  241  9500  4.00 -2.00  2.00  0.00 -19.036 -19.329   2.908
