
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
  253  9750  5.00 -1.00  2.00  0.00  0.00   1.278   1.278   0.018   0.222   0.796   0.796   2.972
  254 10000  2.00 -1.00  2.00  0.00  0.00   1.187   1.188   0.018   0.071   1.007   1.008   2.635
  255 10000  2.50 -1.00  2.00  0.00  0.00   1.272   1.272   0.003   0.084   1.097   1.097   2.692
  256 10000  3.00 -1.00  2.00  0.00  0.00   1.311   1.311  -0.004   0.100   1.118   1.119   2.754
  257 10000  3.50 -1.00  2.00  0.00  0.00   1.323   1.324  -0.007   0.121   1.093   1.093   2.819
  258 10000  4.00 -1.00  2.00  0.00  0.00   1.316   1.317  -0.005   0.148   1.028   1.029   2.883
  259 10000  4.50 -1.00  2.00  0.00  0.00   1.292   1.292   0.000   0.182   0.927   0.928   2.935
  260 10000  5.00 -1.00  2.00  0.00  0.00   1.248   1.248   0.009   0.217   0.794   0.794   2.971
  261 10500  2.00 -1.00  2.00  0.00  0.00   1.041   1.042   0.014   0.069   0.873   0.874   2.619
  262 10500  2.50 -1.00  2.00  0.00  0.00   1.135   1.136  -0.002   0.081   0.975   0.976   2.671
  263 10500  3.00 -1.00  2.00  0.00  0.00   1.184   1.184  -0.010   0.095   1.012   1.012   2.727
  264 10500  3.50 -1.00  2.00  0.00  0.00   1.206   1.207  -0.014   0.113   1.005   1.005   2.788
  265 10500  4.00 -1.00  2.00  0.00  0.00   1.211   1.211  -0.014   0.137   0.962   0.962   2.851
  266 10500  4.50 -1.00  2.00  0.00  0.00   1.200   1.200  -0.012   0.168   0.886   0.886   2.910
  267 10500  5.00 -1.00  2.00  0.00  0.00   1.174   1.175  -0.006   0.204   0.776   0.776   2.957
  268 11000  2.50 -1.00  2.00  0.00  0.00   1.015   1.016  -0.006   0.078   0.869   0.870   2.654
  269 11000  3.00 -1.00  2.00  0.00  0.00   1.070   1.070  -0.015   0.092   0.914   0.915   2.706
  270 11000  3.50 -1.00  2.00  0.00  0.00   1.099   1.100  -0.019   0.109   0.919   0.919   2.763
  271 11000  4.00 -1.00  2.00  0.00  0.00   1.111   1.112  -0.021   0.130   0.892   0.892   2.823
  272 11000  4.50 -1.00  2.00  0.00  0.00   1.110   1.110  -0.020   0.157   0.834   0.834   2.883
  273 11000  5.00 -1.00  2.00  0.00  0.00   1.096   1.096  -0.017   0.192   0.744   0.744   2.936
  274 11500  2.50 -1.00  2.00  0.00  0.00   0.910   0.911  -0.011   0.077   0.776   0.777   2.641
  275 11500  3.00 -1.00  2.00  0.00  0.00   0.968   0.969  -0.020   0.090   0.826   0.827   2.690
  276 11500  3.50 -1.00  2.00  0.00  0.00   1.001   1.002  -0.024   0.105   0.838   0.839   2.743
  277 11500  4.00 -1.00  2.00  0.00  0.00   1.019   1.020  -0.027   0.125   0.821   0.822   2.799
  278 11500  4.50 -1.00  2.00  0.00  0.00   1.024   1.025  -0.027   0.149   0.777   0.778   2.858
  279 11500  5.00 -1.00  2.00  0.00  0.00   1.018   1.018  -0.025   0.181   0.704   0.704   2.914
  280 12000  2.50 -1.00  2.00  0.00  0.00   0.819   0.820  -0.016   0.076   0.696   0.697   2.630
  281 12000  3.00 -1.00  2.00  0.00  0.00   0.877   0.878  -0.024   0.088   0.749   0.749   2.677
  282 12000  3.50 -1.00  2.00  0.00  0.00   0.913   0.913  -0.029   0.102   0.764   0.765   2.726
  283 12000  4.00 -1.00  2.00  0.00  0.00   0.934   0.934  -0.032   0.121   0.754   0.754   2.780
  284 12000  4.50 -1.00  2.00  0.00  0.00   0.943   0.944  -0.032   0.143   0.719   0.720   2.836
  285 12000  5.00 -1.00  2.00  0.00  0.00   0.943   0.943  -0.031   0.172   0.660   0.660   2.891
  286 12500  2.50 -1.00  2.00  0.00  0.00   0.739   0.739  -0.020   0.075   0.627   0.628   2.621
  287 12500  3.00 -1.00  2.00  0.00  0.00   0.797   0.798  -0.029   0.086   0.681   0.681   2.665
  288 12500  3.50 -1.00  2.00  0.00  0.00   0.833   0.834  -0.034   0.100   0.698   0.699   2.712
  289 12500  4.00 -1.00  2.00  0.00  0.00   0.855   0.856  -0.036   0.117   0.691   0.692   2.763
  290 12500  4.50 -1.00  2.00  0.00  0.00   0.868   0.868  -0.037   0.139   0.663   0.663   2.817
  291 12500  5.00 -1.00  2.00  0.00  0.00   0.871   0.872  -0.037   0.165   0.613   0.613   2.870
  292 13000  2.50 -1.00  2.00  0.00  0.00   0.667   0.668  -0.025   0.074   0.567   0.568   2.613
  293 13000  3.00 -1.00  2.00  0.00  0.00   0.726   0.727  -0.033   0.085   0.621   0.622   2.655
  294 13000  3.50 -1.00  2.00  0.00  0.00   0.761   0.762  -0.038   0.098   0.639   0.640   2.700
  295 13000  4.00 -1.00  2.00  0.00  0.00   0.784   0.785  -0.041   0.115   0.634   0.635   2.749
  296 13000  4.50 -1.00  2.00  0.00  0.00   0.798   0.798  -0.042   0.135   0.609   0.610   2.800
  297 13000  5.00 -1.00  2.00  0.00  0.00   0.804   0.804  -0.042   0.160   0.566   0.566   2.851
  298 14000  2.00 -1.00  2.00  0.00  0.00   0.427   0.428  -0.014   0.062   0.328   0.329   2.556
  299 14000  2.50 -1.00  2.00  0.00  0.00   0.544   0.545  -0.033   0.072   0.464   0.465   2.598
  300 14000  3.00 -1.00  2.00  0.00  0.00   0.604   0.605  -0.042   0.083   0.521   0.522   2.639
  301 14000  3.50 -1.00  2.00  0.00  0.00   0.639   0.640  -0.046   0.095   0.540   0.541   2.680
  302 14000  4.00 -1.00  2.00  0.00  0.00   0.661   0.662  -0.049   0.110   0.536   0.537   2.725
  303 14000  4.50 -1.00  2.00  0.00  0.00   0.675   0.675  -0.050   0.129   0.515   0.516   2.771
  304 14000  5.00 -1.00  2.00  0.00  0.00   0.682   0.683  -0.050   0.151   0.478   0.479   2.819
  305 15000  2.50 -1.00  2.00  0.00  0.00   0.438   0.439  -0.040   0.070   0.376   0.377   2.586
  306 15000  3.00 -1.00  2.00  0.00  0.00   0.502   0.503  -0.050   0.080   0.438   0.439   2.625
  307 15000  3.50 -1.00  2.00  0.00  0.00   0.538   0.539  -0.054   0.092   0.460   0.460   2.664
  308 15000  4.00 -1.00  2.00  0.00  0.00   0.559   0.560  -0.056   0.106   0.457   0.458   2.706
  309 15000  4.50 -1.00  2.00  0.00  0.00   0.571   0.572  -0.058   0.124   0.437   0.438   2.749
  310 15000  5.00 -1.00  2.00  0.00  0.00   0.579   0.580  -0.058   0.145   0.403   0.404   2.793
  311 16000  2.50 -1.00  2.00  0.00  0.00   0.342   0.343  -0.047   0.068   0.297   0.298   2.574
  312 16000  3.00 -1.00  2.00  0.00  0.00   0.413   0.414  -0.057   0.079   0.367   0.368   2.612
  313 16000  3.50 -1.00  2.00  0.00  0.00   0.451   0.452  -0.061   0.090   0.392   0.393   2.650
  314 16000  4.00 -1.00  2.00  0.00  0.00   0.472   0.473  -0.064   0.103   0.391   0.392   2.689
  315 16000  4.50 -1.00  2.00  0.00  0.00   0.484   0.485  -0.065   0.119   0.373   0.374   2.730
  316 16000  5.00 -1.00  2.00  0.00  0.00   0.491   0.492  -0.065   0.139   0.341   0.341   2.772
  317 17000  2.50 -1.00  2.00  0.00  0.00   0.255   0.256  -0.052   0.067   0.224   0.225   2.563
  318 17000  3.00 -1.00  2.00  0.00  0.00   0.332   0.333  -0.063   0.076   0.303   0.304   2.601
  319 17000  3.50 -1.00  2.00  0.00  0.00   0.373   0.374  -0.068   0.087   0.332   0.333   2.637
  320 17000  4.00 -1.00  2.00  0.00  0.00   0.396   0.397  -0.070   0.100   0.334   0.335   2.675
  321 17000  4.50 -1.00  2.00  0.00  0.00   0.409   0.410  -0.071   0.115   0.319   0.320   2.714
  322 17000  5.00 -1.00  2.00  0.00  0.00   0.415   0.416  -0.071   0.134   0.288   0.289   2.754
  323 18000  2.50 -1.00  2.00  0.00  0.00   0.174   0.175  -0.056   0.064   0.155   0.156   2.554
  324 18000  3.00 -1.00  2.00  0.00  0.00   0.258   0.259  -0.069   0.074   0.244   0.245   2.591
  325 18000  3.50 -1.00  2.00  0.00  0.00   0.302   0.303  -0.074   0.085   0.278   0.279   2.626
  326 18000  4.00 -1.00  2.00  0.00  0.00   0.328   0.329  -0.076   0.097   0.283   0.284   2.663
  327 18000  4.50 -1.00  2.00  0.00  0.00   0.342   0.343  -0.077   0.112   0.270   0.271   2.700
  328 18000  5.00 -1.00  2.00  0.00  0.00   0.349   0.350  -0.078   0.130   0.242   0.243   2.739
  329 19000  2.50 -1.00  2.00  0.00  0.00   0.098   0.100  -0.060   0.062   0.091   0.092   2.545
  330 19000  3.00 -1.00  2.00  0.00  0.00   0.190   0.191  -0.074   0.072   0.191   0.192   2.581
  331 19000  3.50 -1.00  2.00  0.00  0.00   0.238   0.239  -0.079   0.083   0.229   0.230   2.615
  332 19000  4.00 -1.00  2.00  0.00  0.00   0.265   0.266  -0.082   0.094   0.237   0.238   2.651
  333 19000  4.50 -1.00  2.00  0.00  0.00   0.280   0.281  -0.083   0.108   0.227   0.228   2.688
  334 19000  5.00 -1.00  2.00  0.00  0.00   0.288   0.289  -0.083   0.126   0.202   0.203   2.725
  335 20000  3.00 -1.00  2.00  0.00  0.00   0.129   0.130  -0.078   0.070   0.142   0.143   2.573
  336 20000  3.50 -1.00  2.00  0.00  0.00   0.179   0.180  -0.084   0.081   0.184   0.185   2.606
  337 20000  4.00 -1.00  2.00  0.00  0.00   0.207   0.209  -0.087   0.092   0.195   0.196   2.640
  338 20000  4.50 -1.00  2.00  0.00  0.00   0.224   0.225  -0.088   0.105   0.188   0.189   2.675
  339 20000  5.00 -1.00  2.00  0.00  0.00   0.233   0.234  -0.088   0.121   0.165   0.166   2.712
  340 21000  3.00 -1.00  2.00  0.00  0.00   0.072   0.074  -0.082   0.069   0.097   0.098   2.565
  341 21000  3.50 -1.00  2.00  0.00  0.00   0.125   0.127  -0.089   0.078   0.144   0.145   2.598
  342 21000  4.00 -1.00  2.00  0.00  0.00   0.155   0.156  -0.091   0.089   0.157   0.158   2.630
  343 21000  4.50 -1.00  2.00  0.00  0.00   0.173   0.174  -0.093   0.102   0.152   0.153   2.664
  344 21000  5.00 -1.00  2.00  0.00  0.00   0.183   0.184  -0.093   0.118   0.132   0.133   2.700
  345 22000  3.00 -1.00  2.00  0.00  0.00   0.020   0.021  -0.085   0.067   0.055   0.056   2.558
  346 22000  3.50 -1.00  2.00  0.00  0.00   0.076   0.078  -0.093   0.076   0.107   0.108   2.590
  347 22000  4.00 -1.00  2.00  0.00  0.00   0.108   0.109  -0.096   0.087   0.123   0.124   2.621
  348 22000  4.50 -1.00  2.00  0.00  0.00   0.126   0.127  -0.097   0.099   0.120   0.121   2.654
  349 22000  5.00 -1.00  2.00  0.00  0.00   0.136   0.137  -0.098   0.114   0.102   0.103   2.688
  350 23000  3.00 -1.00  2.00  0.00  0.00  -0.029  -0.028  -0.089   0.065   0.017   0.018   2.551
  351 23000  3.50 -1.00  2.00  0.00  0.00   0.031   0.032  -0.096   0.074   0.073   0.074   2.583
  352 23000  4.00 -1.00  2.00  0.00  0.00   0.064   0.065  -0.100   0.085   0.092   0.093   2.614
  353 23000  4.50 -1.00  2.00  0.00  0.00   0.083   0.084  -0.101   0.097   0.090   0.091   2.645
  354 23000  5.00 -1.00  2.00  0.00  0.00   0.094   0.095  -0.102   0.111   0.074   0.075   2.678
  355 24000  3.00 -1.00  2.00  0.00  0.00  -0.073  -0.072  -0.092   0.063  -0.017  -0.016   2.545
  356 24000  3.50 -1.00  2.00  0.00  0.00  -0.011  -0.010  -0.100   0.073   0.042   0.043   2.576
  357 24000  4.00 -1.00  2.00  0.00  0.00   0.023   0.024  -0.104   0.083   0.063   0.064   2.606
  358 24000  4.50 -1.00  2.00  0.00  0.00   0.043   0.044  -0.105   0.094   0.063   0.065   2.637
  359 24000  5.00 -1.00  2.00  0.00  0.00   0.055   0.056  -0.106   0.108   0.049   0.050   2.669
  360 25000  3.00 -1.00  2.00  0.00  0.00  -0.117  -0.115  -0.095   0.062  -0.051  -0.050   2.538
  361 25000  3.50 -1.00  2.00  0.00  0.00  -0.050  -0.048  -0.104   0.071   0.014   0.015   2.570
  362 25000  4.00 -1.00  2.00  0.00  0.00  -0.015  -0.013  -0.107   0.081   0.036   0.037   2.600
  363 25000  4.50 -1.00  2.00  0.00  0.00   0.006   0.007  -0.109   0.092   0.038   0.040   2.630
  364 25000  5.00 -1.00  2.00  0.00  0.00   0.018   0.019  -0.110   0.105   0.026   0.027   2.661
  365 26000  3.00 -1.00  2.00  0.00  0.00  -0.162  -0.161  -0.096   0.060  -0.091  -0.090   2.530
  366 26000  3.50 -1.00  2.00  0.00  0.00  -0.085  -0.084  -0.107   0.069  -0.011  -0.010   2.565
  367 26000  4.00 -1.00  2.00  0.00  0.00  -0.050  -0.048  -0.111   0.079   0.012   0.013   2.593
  368 26000  4.50 -1.00  2.00  0.00  0.00  -0.028  -0.027  -0.112   0.090   0.015   0.016   2.623
  369 26000  5.00 -1.00  2.00  0.00  0.00  -0.016  -0.015  -0.114   0.102   0.005   0.006   2.654
  370 27000  3.50 -1.00  2.00  0.00  0.00  -0.120  -0.118  -0.111   0.068  -0.035  -0.034   2.559
  371 27000  4.00 -1.00  2.00  0.00  0.00  -0.082  -0.081  -0.114   0.077  -0.010  -0.008   2.588
  372 27000  4.50 -1.00  2.00  0.00  0.00  -0.061  -0.059  -0.116   0.088  -0.006  -0.005   2.616
  373 27000  5.00 -1.00  2.00  0.00  0.00  -0.048  -0.047  -0.117   0.100  -0.016  -0.014   2.646
  374 28000  3.50 -1.00  2.00  0.00  0.00  -0.154  -0.153  -0.114   0.066  -0.061  -0.059   2.553
  375 28000  4.00 -1.00  2.00  0.00  0.00  -0.113  -0.111  -0.118   0.075  -0.030  -0.029   2.582
  376 28000  4.50 -1.00  2.00  0.00  0.00  -0.091  -0.090  -0.119   0.086  -0.025  -0.024   2.610
  377 28000  5.00 -1.00  2.00  0.00  0.00  -0.078  -0.077  -0.120   0.097  -0.034  -0.033   2.639
  378 29000  3.50 -1.00  2.00  0.00  0.00  -0.188  -0.187  -0.115   0.064  -0.088  -0.086   2.546
  379 29000  4.00 -1.00  2.00  0.00  0.00  -0.143  -0.142  -0.121   0.074  -0.050  -0.049   2.577
  380 29000  4.50 -1.00  2.00  0.00  0.00  -0.120  -0.119  -0.123   0.084  -0.044  -0.042   2.604
  381 29000  5.00 -1.00  2.00  0.00  0.00  -0.107  -0.106  -0.124   0.095  -0.052  -0.050   2.632
  382 30000  3.50 -1.00  2.00  0.00  0.00  -0.220  -0.219  -0.116   0.062  -0.114  -0.112   2.538
  383 30000  4.00 -1.00  2.00  0.00  0.00  -0.173  -0.171  -0.124   0.072  -0.070  -0.069   2.571
  384 30000  4.50 -1.00  2.00  0.00  0.00  -0.148  -0.147  -0.126   0.082  -0.061  -0.060   2.598
  385 30000  5.00 -1.00  2.00  0.00  0.00  -0.135  -0.133  -0.127   0.093  -0.068  -0.067   2.626
  386 31000  3.50 -1.00  2.00  0.00  0.00  -0.247  -0.246  -0.115   0.060  -0.138  -0.136   2.530
  387 31000  4.00 -1.00  2.00  0.00  0.00  -0.201  -0.200  -0.126   0.070  -0.090  -0.089   2.564
  388 31000  4.50 -1.00  2.00  0.00  0.00  -0.175  -0.174  -0.129   0.079  -0.078  -0.077   2.592
  389 31000  5.00 -1.00  2.00  0.00  0.00  -0.161  -0.160  -0.130   0.090  -0.084  -0.082   2.619
  390 32000  4.00 -1.00  2.00  0.00  0.00  -0.227  -0.226  -0.127   0.067  -0.109  -0.108   2.556
  391 32000  4.50 -1.00  2.00  0.00  0.00  -0.201  -0.200  -0.131   0.077  -0.095  -0.093   2.585
  392 32000  5.00 -1.00  2.00  0.00  0.00  -0.186  -0.185  -0.132   0.087  -0.099  -0.097   2.611
  393 33000  4.00 -1.00  2.00  0.00  0.00  -0.250  -0.249  -0.127   0.065  -0.127  -0.125   2.549
  394 33000  4.50 -1.00  2.00  0.00  0.00  -0.225  -0.224  -0.133   0.075  -0.111  -0.109   2.577
  395 33000  5.00 -1.00  2.00  0.00  0.00  -0.210  -0.209  -0.135   0.085  -0.112  -0.111   2.604
  396 34000  4.00 -1.00  2.00  0.00  0.00  -0.269  -0.268  -0.127   0.062  -0.142  -0.140   2.543
  397 34000  4.50 -1.00  2.00  0.00  0.00  -0.247  -0.245  -0.134   0.072  -0.125  -0.123   2.570
  398 34000  5.00 -1.00  2.00  0.00  0.00  -0.232  -0.231  -0.136   0.082  -0.125  -0.124   2.596
  399 35000  4.00 -1.00  2.00  0.00  0.00  -0.285  -0.283  -0.126   0.060  -0.154  -0.153   2.536
  400 35000  4.50 -1.00  2.00  0.00  0.00  -0.265  -0.264  -0.134   0.069  -0.138  -0.136   2.563
  401 35000  5.00 -1.00  2.00  0.00  0.00  -0.252  -0.251  -0.137   0.079  -0.137  -0.136   2.588
  402 37500  4.50 -1.00  2.00  0.00  0.00  -0.300  -0.299  -0.133   0.063  -0.162  -0.161   2.546
  403 37500  5.00 -1.00  2.00  0.00  0.00  -0.291  -0.290  -0.138   0.071  -0.161  -0.159   2.569
  404 40000  4.50 -1.00  2.00  0.00  0.00  -0.320  -0.319  -0.134   0.060  -0.175  -0.173   2.535
  405 40000  5.00 -1.00  2.00  0.00  0.00  -0.316  -0.314  -0.137   0.066  -0.175  -0.174   2.553
  406 42500  5.00 -1.00  2.00  0.00  0.00  -0.331  -0.330  -0.138   0.063  -0.183  -0.181   2.544
  407 45000  5.00 -1.00  2.00  0.00  0.00  -0.342  -0.341  -0.140   0.062  -0.188  -0.186   2.539
  408 47500  5.00 -1.00  2.00  0.00  0.00  -0.352  -0.350  -0.142   0.061  -0.192  -0.191   2.536
  409 50000  5.00 -1.00  2.00  0.00  0.00  -0.360  -0.358  -0.144   0.061  -0.196  -0.194   2.533
