
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
  200  8250  1.50 -1.50  2.00  1.25  0.00   1.820   1.821   0.044   0.080   1.570   1.570   2.705
  201  8250  2.00 -1.50  2.00  1.25  0.00   1.840   1.840   0.035   0.094   1.579   1.580   2.769
  202  8250  2.50 -1.50  2.00  1.25  0.00   1.803   1.803   0.038   0.112   1.501   1.501   2.820
  203  8250  3.00 -1.50  2.00  1.25  0.00   1.734   1.734   0.047   0.132   1.373   1.373   2.856
  204  8250  3.50 -1.50  2.00  1.25  0.00   1.639   1.639   0.061   0.152   1.211   1.211   2.877
  205  8250  4.00 -1.50  2.00  1.25  0.00   1.517   1.517   0.086   0.165   1.015   1.014   2.884
  206  8250  4.50 -1.50  2.00  1.25  0.00   1.377   1.377   0.110   0.169   0.816   0.816   2.882
  207  8250  5.00 -1.50  2.00  1.25  0.00   1.230   1.229   0.131   0.169   0.629   0.629   2.873
  208  8500  1.50 -1.50  2.00  1.25  0.00   1.693   1.693   0.047   0.075   1.447   1.448   2.674
  209  8500  2.00 -1.50  2.00  1.25  0.00   1.754   1.754   0.029   0.090   1.514   1.515   2.746
  210  8500  2.50 -1.50  2.00  1.25  0.00   1.748   1.749   0.027   0.108   1.476   1.476   2.808
  211  8500  3.00 -1.50  2.00  1.25  0.00   1.703   1.703   0.033   0.130   1.376   1.376   2.855
  212  8500  3.50 -1.50  2.00  1.25  0.00   1.630   1.630   0.043   0.152   1.237   1.237   2.888
  213  8500  4.00 -1.50  2.00  1.25  0.00   1.532   1.532   0.059   0.173   1.067   1.067   2.904
  214  8500  4.50 -1.50  2.00  1.25  0.00   1.407   1.407   0.085   0.182   0.870   0.870   2.909
  215  8500  5.00 -1.50  2.00  1.25  0.00   1.268   1.268   0.108   0.185   0.680   0.680   2.905
  216  8750  2.00 -1.50  2.00  1.25  0.00   1.655   1.655   0.026   0.085   1.431   1.431   2.720
  217  8750  2.50 -1.50  2.00  1.25  0.00   1.674   1.674   0.020   0.102   1.427   1.428   2.788
  218  8750  3.00 -1.50  2.00  1.25  0.00   1.652   1.652   0.022   0.124   1.357   1.357   2.845
  219  8750  3.50 -1.50  2.00  1.25  0.00   1.601   1.601   0.029   0.149   1.242   1.242   2.889
  220  8750  4.00 -1.50  2.00  1.25  0.00   1.524   1.524   0.041   0.174   1.093   1.093   2.916
  221  8750  4.50 -1.50  2.00  1.25  0.00   1.422   1.422   0.060   0.194   0.913   0.913   2.928
  222  8750  5.00 -1.50  2.00  1.25  0.00   1.296   1.296   0.086   0.200   0.722   0.722   2.931
  223  9000  2.00 -1.50  2.00  0.00  0.00   1.549   1.550   0.025   0.080   1.336   1.337   2.695
  224  9000  2.50 -1.50  2.00  0.00  0.00   1.590   1.591   0.015   0.097   1.364   1.364   2.765
  225  9000  3.00 -1.50  2.00  0.00  0.00   1.589   1.589   0.014   0.118   1.321   1.322   2.829
  226  9000  3.50 -1.50  2.00  0.00  0.00   1.558   1.558   0.019   0.144   1.229   1.229   2.883
  227  9000  4.00 -1.50  2.00  0.00  0.00   1.501   1.501   0.027   0.173   1.098   1.098   2.920
  228  9000  4.50 -1.50  2.00  0.00  0.00   1.421   1.421   0.040   0.200   0.939   0.939   2.941
  229  9000  5.00 -1.50  2.00  0.00  0.00   1.320   1.320   0.056   0.222   0.763   0.763   2.946
  230  9250  2.00 -1.50  2.00  0.00  0.00   1.449   1.450   0.024   0.077   1.245   1.246   2.675
  231  9250  2.50 -1.50  2.00  0.00  0.00   1.505   1.506   0.012   0.093   1.295   1.295   2.742
  232  9250  3.00 -1.50  2.00  0.00  0.00   1.519   1.519   0.008   0.113   1.274   1.275   2.810
