
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  106  5750  3.00  0.20  2.00  0.00  0.00 -16.112 -16.092 -16.913 -17.185 -17.103   1.875   1.874   0.418   0.284   0.470   0.468
  107  5750  3.50  0.20  2.00  0.00  0.00 -16.179 -16.158 -16.907 -17.178 -17.096   1.802   1.800   0.417   0.283   0.398   0.396
  108  5750  4.00  0.20  2.00  0.00  0.00 -16.228 -16.207 -16.898 -17.175 -17.091   1.749   1.748   0.416   0.290   0.334   0.333
  109  5750  4.50  0.20  2.00  0.00  0.00 -16.258 -16.237 -16.886 -17.175 -17.089   1.719   1.718   0.413   0.305   0.281   0.280
  110  5750  5.00  0.20  2.00  0.00  0.00 -16.267 -16.245 -16.873 -17.180 -17.089   1.715   1.715   0.408   0.328   0.241   0.240
  111  6000  0.00  0.20  2.00  0.00  0.00 -15.824 -15.805 -17.338 -17.562 -17.398   2.540   2.538   0.336   0.318   1.232   1.229
  112  6000  0.50  0.20  2.00  0.00  0.00 -15.922 -15.903 -17.311 -17.539 -17.386   2.419   2.417   0.347   0.311   1.102   1.099
  113  6000  1.00  0.20  2.00  0.00  0.00 -16.038 -16.018 -17.301 -17.521 -17.373   2.285   2.283   0.352   0.296   0.986   0.983
  114  6000  1.50  0.20  2.00  0.00  0.00 -16.156 -16.136 -17.295 -17.503 -17.360   2.150   2.147   0.357   0.280   0.873   0.871
  115  6000  2.00  0.20  2.00  0.00  0.00 -16.268 -16.248 -17.288 -17.486 -17.348   2.020   2.018   0.361   0.266   0.763   0.761
  116  6000  2.50  0.20  2.00  0.00  0.00 -16.372 -16.352 -17.279 -17.471 -17.336   1.901   1.899   0.366   0.255   0.657   0.655
  117  6000  3.00  0.20  2.00  0.00  0.00 -16.463 -16.443 -17.268 -17.456 -17.325   1.795   1.794   0.369   0.248   0.558   0.557
  118  6000  3.50  0.20  2.00  0.00  0.00 -16.540 -16.519 -17.255 -17.444 -17.316   1.706   1.705   0.372   0.247   0.467   0.466
  119  6000  4.00  0.20  2.00  0.00  0.00 -16.602 -16.581 -17.240 -17.436 -17.309   1.636   1.635   0.374   0.251   0.385   0.384
  120  6000  4.50  0.20  2.00  0.00  0.00 -16.645 -16.624 -17.225 -17.431 -17.305   1.588   1.587   0.374   0.262   0.316   0.315
  121  6000  5.00  0.20  2.00  0.00  0.00 -16.668 -16.647 -17.208 -17.431 -17.303   1.565   1.564   0.372   0.280   0.259   0.258
  122  6250  0.50  0.20  2.00  0.00  0.00 -16.222 -16.202 -17.702 -17.818 -17.595   2.398   2.396   0.277   0.268   1.305   1.304
  123  6250  1.00  0.20  2.00  0.00  0.00 -16.326 -16.306 -17.666 -17.793 -17.586   2.269   2.267   0.293   0.263   1.155   1.153
  124  6250  1.50  0.20  2.00  0.00  0.00 -16.439 -16.419 -17.645 -17.770 -17.573   2.133   2.131   0.303   0.251   1.023   1.021
  125  6250  2.00  0.20  2.00  0.00  0.00 -16.553 -16.532 -17.627 -17.748 -17.559   1.997   1.996   0.311   0.239   0.896   0.894
  126  6250  2.50  0.20  2.00  0.00  0.00 -16.661 -16.640 -17.609 -17.727 -17.545   1.868   1.866   0.318   0.228   0.773   0.771
  127  6250  3.00  0.20  2.00  0.00  0.00 -16.760 -16.739 -17.590 -17.707 -17.533   1.750   1.748   0.325   0.221   0.655   0.653
  128  6250  3.50  0.20  2.00  0.00  0.00 -16.846 -16.826 -17.570 -17.691 -17.521   1.646   1.645   0.330   0.219   0.545   0.544
  129  6250  4.00  0.20  2.00  0.00  0.00 -16.920 -16.899 -17.550 -17.677 -17.511   1.559   1.558   0.335   0.221   0.445   0.444
  130  6250  4.50  0.20  2.00  0.00  0.00 -16.976 -16.955 -17.529 -17.667 -17.504   1.493   1.492   0.337   0.229   0.357   0.356
  131  6250  5.00  0.20  2.00  0.00  0.00 -17.015 -16.994 -17.510 -17.662 -17.500   1.449   1.448   0.338   0.243   0.285   0.284
  132  6500  0.50  0.20  2.00  0.00  0.00 -16.490 -16.470 -18.052 -18.073 -17.788   2.384   2.383   0.215   0.234   1.483   1.482
  133  6500  1.00  0.20  2.00  0.00  0.00 -16.578 -16.557 -18.014 -18.047 -17.779   2.272   2.270   0.232   0.230   1.346   1.344
  134  6500  1.50  0.20  2.00  0.00  0.00 -16.685 -16.664 -17.970 -18.019 -17.770   2.137   2.135   0.251   0.227   1.179   1.177
  135  6500  2.00  0.20  2.00  0.00  0.00 -16.796 -16.775 -17.940 -17.993 -17.756   1.999   1.998   0.263   0.218   1.033   1.032
  136  6500  2.50  0.20  2.00  0.00  0.00 -16.906 -16.886 -17.913 -17.968 -17.742   1.863   1.862   0.274   0.210   0.894   0.892
  137  6500  3.00  0.20  2.00  0.00  0.00 -17.011 -16.990 -17.886 -17.943 -17.727   1.734   1.733   0.284   0.203   0.759   0.758
