
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  158  7000  3.50 -1.50  2.00  0.00  0.00 -17.633 -17.611 -18.361 -18.246 -17.959   1.415   1.415   0.213   0.101   0.786   0.786
  159  7000  4.00 -1.50  2.00  0.00  0.00 -17.735 -17.713 -18.304 -18.202 -17.928   1.269   1.268   0.227   0.100   0.614   0.614
  160  7000  4.50 -1.50  2.00  0.00  0.00 -17.830 -17.809 -18.253 -18.161 -17.901   1.133   1.133   0.239   0.098   0.457   0.456
  161  7000  5.00 -1.50  2.00  0.00  0.00 -17.914 -17.892 -18.211 -18.128 -17.878   1.016   1.015   0.251   0.096   0.322   0.321
  162  7250  0.50 -1.50  2.00  0.00  0.00 -17.253 -17.231 -18.890 -18.636 -18.234   2.185   2.185   0.098   0.077   1.833   1.833
  163  7250  1.00 -1.50  2.00  0.00  0.00 -17.284 -17.262 -18.887 -18.631 -18.224   2.148   2.148   0.093   0.080   1.801   1.801
  164  7250  1.50 -1.50  2.00  0.00  0.00 -17.357 -17.335 -18.852 -18.612 -18.212   2.057   2.057   0.101   0.088   1.677   1.677
  165  7250  2.00 -1.50  2.00  0.00  0.00 -17.450 -17.429 -18.795 -18.581 -18.199   1.933   1.932   0.118   0.098   1.500   1.499
  166  7250  2.50 -1.50  2.00  0.00  0.00 -17.555 -17.533 -18.716 -18.539 -18.183   1.786   1.786   0.144   0.108   1.281   1.281
  167  7250  3.00 -1.50  2.00  0.00  0.00 -17.662 -17.640 -18.646 -18.494 -18.158   1.634   1.633   0.164   0.112   1.079   1.078
  168  7250  3.50 -1.50  2.00  0.00  0.00 -17.769 -17.747 -18.580 -18.446 -18.128   1.479   1.479   0.182   0.113   0.887   0.887
  169  7250  4.00 -1.50  2.00  0.00  0.00 -17.873 -17.852 -18.517 -18.398 -18.096   1.327   1.326   0.198   0.112   0.705   0.705
  170  7250  4.50 -1.50  2.00  0.00  0.00 -17.973 -17.952 -18.459 -18.352 -18.065   1.181   1.180   0.212   0.109   0.535   0.535
  171  7250  5.00 -1.50  2.00  0.00  0.00 -18.065 -18.043 -18.409 -18.312 -18.037   1.049   1.049   0.225   0.107   0.384   0.383
  172  7500  0.50 -1.50  2.00  0.00  0.00 -17.510 -17.487 -19.016 -18.771 -18.376   2.063   2.064   0.104   0.079   1.694   1.694
  173  7500  1.00 -1.50  2.00  0.00  0.00 -17.483 -17.461 -19.068 -18.793 -18.367   2.112   2.112   0.075   0.079   1.802   1.802
  174  7500  1.50 -1.50  2.00  0.00  0.00 -17.530 -17.508 -19.047 -18.783 -18.359   2.055   2.055   0.076   0.088   1.724   1.724
  175  7500  2.00 -1.50  2.00  0.00  0.00 -17.605 -17.583 -19.005 -18.762 -18.348   1.959   1.959   0.086   0.100   1.586   1.585
  176  7500  2.50 -1.50  2.00  0.00  0.00 -17.696 -17.674 -18.942 -18.729 -18.333   1.835   1.835   0.104   0.112   1.401   1.401
  177  7500  3.00 -1.50  2.00  0.00  0.00 -17.796 -17.774 -18.861 -18.685 -18.315   1.690   1.690   0.131   0.122   1.183   1.183
  178  7500  3.50 -1.50  2.00  0.00  0.00 -17.899 -17.878 -18.788 -18.636 -18.288   1.539   1.539   0.152   0.125   0.983   0.983
  179  7500  4.00 -1.50  2.00  0.00  0.00 -18.003 -17.981 -18.720 -18.586 -18.256   1.386   1.385   0.170   0.125   0.793   0.793
  180  7500  4.50 -1.50  2.00  0.00  0.00 -18.105 -18.083 -18.656 -18.537 -18.223   1.234   1.234   0.186   0.124   0.613   0.612
