
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  167  7250  3.00 -2.50  2.00  1.25  0.00 -17.671 -17.650 -18.632 -18.471 -18.137   1.602   1.602   0.165   0.102   1.064   1.064
  168  7250  3.50 -2.50  2.00  1.25  0.00 -17.779 -17.757 -18.563 -18.420 -18.104   1.443   1.442   0.184   0.102   0.869   0.869
  169  7250  4.00 -2.50  2.00  1.25  0.00 -17.884 -17.863 -18.497 -18.368 -18.069   1.286   1.285   0.201   0.099   0.683   0.683
  170  7250  4.50 -2.50  2.00  1.25  0.00 -17.985 -17.963 -18.436 -18.319 -18.035   1.136   1.136   0.216   0.096   0.511   0.510
  171  7250  5.00 -2.50  2.00  1.25  0.00 -18.075 -18.054 -18.384 -18.276 -18.006   1.003   1.003   0.229   0.092   0.359   0.358
  172  7500  0.50 -2.50  2.00  1.25  0.00 -17.500 -17.478 -19.018 -18.764 -18.363   2.066   2.066   0.099   0.076   1.714   1.714
  173  7500  1.00 -2.50  2.00  1.25  0.00 -17.480 -17.458 -19.064 -18.782 -18.354   2.104   2.104   0.072   0.076   1.807   1.807
  174  7500  1.50 -2.50  2.00  1.25  0.00 -17.530 -17.508 -19.042 -18.771 -18.345   2.043   2.044   0.074   0.084   1.725   1.725
  175  7500  2.00 -2.50  2.00  1.25  0.00 -17.606 -17.584 -18.997 -18.748 -18.333   1.944   1.944   0.085   0.095   1.583   1.583
  176  7500  2.50 -2.50  2.00  1.25  0.00 -17.698 -17.676 -18.930 -18.712 -18.317   1.816   1.816   0.105   0.106   1.392   1.392
  177  7500  3.00 -2.50  2.00  1.25  0.00 -17.799 -17.777 -18.847 -18.665 -18.297   1.667   1.667   0.132   0.115   1.172   1.172
  178  7500  3.50 -2.50  2.00  1.25  0.00 -17.903 -17.882 -18.772 -18.613 -18.267   1.512   1.512   0.153   0.117   0.970   0.970
  179  7500  4.00 -2.50  2.00  1.25  0.00 -18.008 -17.986 -18.701 -18.560 -18.232   1.354   1.354   0.172   0.116   0.776   0.776
  180  7500  4.50 -2.50  2.00  1.25  0.00 -18.111 -18.089 -18.634 -18.507 -18.196   1.198   1.198   0.189   0.112   0.593   0.593
