CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.50120 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
6.66216416E-06   5747.1 5.156E-04 2.777E+08 2.722E-01 2.261E+01 2.000E+05
6.66865870E-06   5929.4 5.161E-04 2.866E+08 2.722E-01 2.101E+01 2.000E+05
8.71829602E-06   5960.2 6.785E-04 3.726E+08 2.699E-01 2.056E+01 2.000E+05
1.16583902E-05   6001.6 9.129E-04 4.954E+08 2.680E-01 2.001E+01 2.000E+05
1.56049007E-05   6046.6 1.230E-03 6.593E+08 2.665E-01 1.938E+01 2.000E+05
2.08941678E-05   6095.8 1.658E-03 8.783E+08 2.654E-01 1.867E+01 2.000E+05
2.79733140E-05   6147.9 2.237E-03 1.170E+09 2.646E-01 1.790E+01 2.000E+05
3.74434711E-05   6201.6 3.019E-03 1.560E+09 2.639E-01 1.700E+01 2.000E+05
5.01140682E-05   6256.0 4.077E-03 2.080E+09 2.631E-01 1.606E+01 2.000E+05
6.70537132E-05   6310.5 5.506E-03 2.773E+09 2.623E-01 1.520E+01 2.000E+05
8.97107544E-05   6365.1 7.437E-03 3.695E+09 2.616E-01 1.443E+01 2.000E+05
1.20004437E-04   6420.3 1.004E-02 4.920E+09 2.609E-01 1.376E+01 2.000E+05
1.60431748E-04   6477.7 1.354E-02 6.542E+09 2.611E-01 1.339E+01 2.000E+05
2.14228317E-04   6537.2 1.820E-02 8.679E+09 2.620E-01 1.309E+01 2.000E+05
2.85640594E-04   6598.4 2.442E-02 1.149E+10 2.635E-01 1.286E+01 2.000E+05
3.80245480E-04   6661.1 3.268E-02 1.517E+10 2.654E-01 1.252E+01 2.000E+05
5.05352564E-04   6724.3 4.365E-02 1.998E+10 2.678E-01 1.218E+01 2.000E+05
6.70459200E-04   6787.9 5.817E-02 2.626E+10 2.710E-01 1.196E+01 2.000E+05
8.87677170E-04   6853.4 7.730E-02 3.444E+10 2.752E-01 1.186E+01 2.000E+05
1.17218720E-03   6921.9 1.024E-01 4.502E+10 2.808E-01 1.187E+01 2.000E+05
1.54290316E-03   6994.9 1.351E-01 5.869E+10 2.882E-01 1.184E+01 2.000E+05
2.02318733E-03   7071.3 1.774E-01 7.624E+10 2.974E-01 1.185E+01 2.000E+05
2.64217561E-03   7151.5 2.320E-01 9.869E+10 3.084E-01 1.172E+01 2.000E+05
3.43677575E-03   7230.5 3.022E-01 1.272E+11 3.208E-01 1.167E+01 2.000E+05
4.45379196E-03   7308.1 3.920E-01 1.632E+11 3.347E-01 1.164E+01 2.000E+05
5.75172368E-03   7383.0 5.067E-01 2.086E+11 3.503E-01 1.170E+01 2.000E+05
7.40302548E-03   7455.1 6.523E-01 2.653E+11 3.677E-01 1.189E+01 2.000E+05
9.49625176E-03   7525.0 8.364E-01 3.359E+11 3.876E-01 1.221E+01 2.000E+05
1.21388901E-02   7593.6 1.068E+00 4.235E+11 4.102E-01 1.265E+01 2.000E+05
1.54609358E-02   7663.9 1.357E+00 5.317E+11 4.361E-01 1.304E+01 2.000E+05
1.96194169E-02   7732.1 1.718E+00 6.645E+11 4.655E-01 1.357E+01 2.000E+05
2.48009746E-02   7799.8 2.164E+00 8.267E+11 4.994E-01 1.427E+01 2.000E+05
3.12233331E-02   7868.3 2.712E+00 1.023E+12 5.388E-01 1.515E+01 2.000E+05
3.91393540E-02   7939.2 3.379E+00 1.261E+12 5.845E-01 1.620E+01 2.000E+05
4.88410554E-02   8014.6 4.186E+00 1.547E+12 6.378E-01 1.740E+01 2.000E+05
6.06615238E-02   8094.7 5.154E+00 1.888E+12 7.000E-01 1.885E+01 2.000E+05
7.49794642E-02   8184.3 6.304E+00 2.295E+12 7.728E-01 2.051E+01 2.000E+05
9.22282532E-02   8285.7 7.659E+00 2.778E+12 8.576E-01 2.239E+01 2.000E+05
1.12899788E-01   8403.2 9.240E+00 3.346E+12 9.564E-01 2.456E+01 2.000E+05
1.37583714E-01   8541.2 1.107E+01 4.009E+12 1.069E+00 2.689E+01 2.000E+05
1.67052651E-01   8703.7 1.319E+01 4.776E+12 1.192E+00 2.931E+01 2.000E+05
2.02467299E-01   8893.0 1.566E+01 5.655E+12 1.315E+00 3.130E+01 2.000E+05
2.45493084E-01   9111.3 1.857E+01 6.665E+12 1.437E+00 3.312E+01 2.000E+05
2.98394584E-01   9364.5 2.207E+01 7.825E+12 1.547E+00 3.462E+01 2.000E+05
3.64592107E-01   9653.8 2.637E+01 9.181E+12 1.633E+00 3.527E+01 2.000E+05
4.48817830E-01   9986.7 3.180E+01 1.080E+13 1.700E+00 3.573E+01 2.000E+05
5.58008864E-01  10362.6 3.885E+01 1.279E+13 1.731E+00 3.514E+01 2.000E+05
7.01873496E-01  10789.5 4.822E+01 1.532E+13 1.743E+00 3.454E+01 2.000E+05
